"Projeto:","Avaliador 1:","Avaliador 2:"
"perfil epidemiologico dos disturbios da comunicacao em populacao coberta por unidade de saude da familia","LUCIANA PIMENTEL FERNANDES DE MELO","GIORVAN ANDERSON DOS SANTOS ALVES"
"fracionamento por cromatografia em coluna classica de lipidios totais em residuos de tilapias (oreochromis niloticus) cultivadas em acude e viveiro no brejo paraibano","JOAO ANDRADE DA SILVA","MARCIA ROSEANE TARGINO DE OLIVEIRA"
"producao de blocos ceramicos de vedacao termoacusticos","ROBERTO LEAL PIMENTEL","JOACIO DE ARAUJO MORAIS JUNIOR"
"producao de tinta sem componentes sinteticos","ROBERTO LEAL PIMENTEL","RICARDO ALMEIDA DE MELO"
"o conselho de defesa sul-americano e a integracao das bases industriais de defesa","HENRY IURE DE PAIVA SILVA","HENRIQUE ZEFERINO DE MENEZES"
"as necessidades de cuidados paliativos em doentes renais cronicos de um servico de dialise sob a percepcao dos proprios pacientes","CRISTIANNE DA SILVA ALEXANDRE","EUTILIA ANDRADE MEDEIROS FREIRE"
"aspectos juridicos e sociais acerca da reproducao humana assistida: analise da resolucao no 2.013/2013 do conselho federal de medicina","ADRIANO MARTELETO GODINHO","MARIA CREUSA DE ARAUJO BORGES"
"efeito do tabagismo no epitelio oral de individuos fumantes e ex-fumantes: analise citomorfometrica","GLAUCIA MARQUES FREITAS RIBEIRO","FREDERICO BARBOSA DE SOUSA"
"o desempenho do projeto probiogas-jp do estado da paraiba na reducao certificada de emissao no mercado de credito de carbono","MAGNO VAMBERTO BATISTA DA SILVA","IVAN TARGINO MOREIRA"
"um estudo das politicas ambientais desenvolvidas no estado da paraiba","MAGNO VAMBERTO BATISTA DA SILVA","IVAN TARGINO MOREIRA"
"ocorrencia de fibromialgia em pacientes portadores de psoriase.","VIRGINIA ANGELA MENEZES DE LUCENA E CARVALHO","ESTHER BASTOS PALITOT"
"elevacao dos niveis de imunoglobulina do tipo e (ige) em pacientes com lupus eritematoso sistemico e alergia","ESTHER BASTOS PALITOT","ARISTIDES MEDEIROS LEITE"
"trajetoria social dos jovens do ensino medio publico","ROBERTO VERAS DE OLIVEIRA","MAURICIO SARDA DE FARIA"
"a realizacao da pessoa: o exercicio e a protecao dos direitos da personalidade","LORENA DE MELO FREITAS","MARIA CREUSA DE ARAUJO BORGES"
"meiofauna das praias arenosas do estado da paraiba: subsidios para futuros estudos populacionais e de laboratorio","CARLA SORAIA SOARES DE CASTRO","LUCIANA GOMES BARBOSA"
"a influencia da contaminacao do ar ambiente em restaurantes gourmet do municipio de joao pessoa- pb","EDELTRUDES DE OLIVEIRA LIMA","ADNA CRISTINA BARBOSA DE SOUSA"
"promocao de comportamentos proativos em reeducandos que trabalham na secretaria de administracao penitenciaria (seap)","NELSON TORRO ALVES","SANDRA SOUZA DA SILVA"
"promocao da saude mental em agentes de seguranca penitenciaria","SANDRA SOUZA DA SILVA","ZAETH AGUIAR DO NASCIMENTO"
"avaliacao psicologica de caracteristicas de personalidade antissocial em populacoes paraibanas","FLAVIO FREITAS BARBOSA","MARIA DA PENHA DE LIMA COUTINHO"
"adaptacao e validacao das escalas lembrancas do relacionamento parental e personalidade tipo d para o contexto brasileiro","PATRICIA NUNES DA FONSECA","JOSEMBERG MOURA DE ANDRADE"
"adaptacao e validacao da escala de predicao de risco de violencia grave de genero (epv-r)","PATRICIA NUNES DA FONSECA","JOSEMBERG MOURA DE ANDRADE"
"violencia, saude e adolescencia: um estudo psicossociologico","LIANA CLEBIA DE MORAIS PORDEUS","CARMEN WALENTINA AMORIM GAUDENCIO BEZERRA"
"analise multitemporal do processo de desertificacao na bacia do alto paraiba - paraiba/brasil","EMILIA DE RODAT FERNANDES MOREIRA","ANIERES BARBOSA DA SILVA"
"endurecimento de pastas a base de sulfato de calcio dihidratado","LISZANDRA FERNANDA ARAUJO CAMPOS","POLLYANA CAETANO RIBEIRO FERNANDES"
"selecao entre e dentro de linhagens de pimenteiras (capsicum spp.) sob condicoes naturais de estresse hidrico no sertao paraibano","PERICLES DE FARIAS BORGES","ALEXANDRE EDUARDO DE ARAUJO"
"selecao entre e dentro de linhagens de pimenteiras (capsicum spp.) sob condicoes naturais de estresse hidrico no brejo paraibano","ALEXANDRE EDUARDO DE ARAUJO","JUSSARA ELLEN MORAIS FRAZAO"
"rendimento da cultura do amaranto (amaranthus sp) em funcao da adubacao nitrogenada e boratada","COSME RAFAEL MARTINEZ SALINAS","HEMMANNUELLA COSTA SANTOS"
"direitos reprodutivos e religiao: a concepcao dos profissionais de enfermagem a cerca da pratica do aborto legal na paraiba","GEOVANIA DA SILVA TOSCANO","SIMONE MAGALHAES BRITO"
"o desenvolvimento da competencia tradutoria em tradutores em formacao","BETANIA PASSOS MEDRADO","REGINA CELI MENDES PEREIRA DA SILVA"
"necessidades e usos informacionais dos professores dos programas de pos-graduacao stricto senso da ufpb campus i","ISA MARIA FREIRE","JOANA COELI RIBEIRO GARCIA"
"uso de nanoparticulas de prata no desenvolvimento de composito restaurador com efeito antibacteriano para uso odontologico","ROSENES LIMA DOS SANTOS","ANA KARINA MACIEL DE ANDRADE"
"avaliacao comparativa da correlacao entre cefaleia tensional e estresse entre estudantes de medicina e estudantes de graduacao de periodo nao-integral da universidade federal da paraiba","HAROLDO DE LUCENA BEZERRA","ALESSANDRA SOUSA BRAZ CALDAS DE ANDRADE"
"processamento correferencial e morfologico em portugues brasileiro","EVANGELINA MARIA BRITO DE FARIA","MARIANNE CARVALHO BEZERRA CAVALCANTE"
"comparacao entre legendas de series produzidas por fas e legendas comerciais","REGINA CELI MENDES PEREIRA DA SILVA","SOCORRO CLAUDIA TAVARES DE SOUSA"
"producao de nanotubos de oxido de ferro, (catalisadores e adsorventes) e avaliacao de suas propriedades adsortivas","VERUSCKA ARAUJO SILVA","FLAVIO LUIZ HONORATO DA SILVA"
"desenvolvimento e processamento de novos produtos carneos","VALDIR DE ANDRADE BRAGA","EDUARDO DE JESUS OLIVEIRA"
"fosforo em canola (brassica napus l. var. oleifera): aspectos da fertilidade do solo e nutricionais","KELLY CRISTIANE GOMES DA SILVA","MANOEL ALEXANDRE DINIZ NETO"
"analise de propriedades fisicas de estruturas dentais e de materiais restauradores","ROSENES LIMA DOS SANTOS","ANA KARINA MACIEL DE ANDRADE"
"cultura academica e tecnologias intelectuais","MARIA ALVES DE AZEREDO","NILVANIA DOS SANTOS SILVA"
"cenario da producao do biodiesel brasileiro","FRANCISCO JOSE DA COSTA","ANA LUCIA DE ARAUJO LIMA COELHO"
"obtencao de oxido de zinco atraves do metodo hidrotermico assistido por micro-ondas para aplicacao como catalisador na obtencao do biodiesel","SANDRO MARDEN TORRES","RAMON ALVES TORQUATO"
"ligas cu-al-be com memoria de forma e elevada histerese: obtencao, propriedades e aplicacao.","DANIELLE GUEDES DE LIMA CAVALCANTE","TIBERIO ANDRADE DOS PASSOS"
"gestao, educacao e qualidade: analise das praticas de gestao escolar e suas possiveis relacoes com a qualidade educacional no municipio de joao pessoa","MARIA DO SOCORRO XAVIER BATISTA","ADRIANA VALERIA SANTOS DINIZ"
"dinamica da distribuicao diametrica de povoamentos de eucalyptus spp.","RONEI MARCOS DE MORAES","TARCIANA LIBERAL PEREIRA"
"espelhamento em narrativas literarias e filmicas: estudo de obras metaficcionais.","SOCORRO DE FATIMA PACIFICO BARBOSA","LUCIANA ELEONORA DE FREITAS CALADO DEPLAGNE"
"biotecnologia aplicada a saude: desenvolvimento de novos nitratos organicos com potencial terapeutico","ENEAS RICARDO DE MORAIS GOMES","LIVIO CARVALHO DE FIGUEIREDO"
"extracao e avaliacao da estabilidade da oleoresina de curcuma (curcuma longa l.)","JOAO ANDRADE DA SILVA","ELISANDRA COSTA ALMEIDA"
"implantacao de tecnicas histologicas no laboratorio de imunofarmacologia / ufpb.","SANDRA RODRIGUES MASCARENHAS","TATJANA KEESEN DE SOUZA LIMA CLEMENTE"
"desenvolvimento de modelo de camada limite atmosferica","FRANCISCO ANTONIO BELO","JOSE MAURICIO ALVES DE MATOS GURGEL"
"tecnologia da informacao: recursos de valor, capacidades e gestao","FRANCISCO JOSE DA COSTA","ANIELSON BARBOSA DA SILVA"
"analise sobre os principais contextos de influencia no tipo e desenho institucional das politicas publicas municipais de economia solidaria","JAMES BATISTA VIEIRA","ROBERTO MENDOZA"
"retorica, hermeneutica e direitos humanos","FLAVIANNE FERNANDA BITENCOURT NOBREGA","EDUARDO RAMALHO RABENHORST"
"as politicas de turismo, a analise de redes sociais (ars) e a institucionalizacao dos espacos de participacao na paraiba: o caso do programa de regionalizacao do turismo - prt","SELMA DOS PASSOS BRAGA","MARCELO DE SOUZA BISPO"
"a formacao docente frente a diversidade","ANA DORZIAT BARBOSA DE MELO","MARIA EULINA PESSOA DE CARVALHO"
"jurema: tradicao e modernidade","MARIA DE FATIMA AGRA","MARIA LUCIA ABAURRE GNERRE"
"tecnologia alternativa para producao de tuberas-semente no inhame e seu desempenho no rendimento de tuberas","LOURIVAL FERREIRA CAVALCANTE","EDNA URSULINO ALVES"
"fisiologia da maturacao, qualidade e agregacao de valor em frutos de importancia socioeconomica para o semi-arido","SILVANIA MARIA DE SOUZA GOMES NASCIMENTO","ALEX DA SILVA BARBOSA"
"tradicao discursiva nos jornais paraibanos dos seculos xix e xx: mudancas e permanencias na acao argumentativa de divulgacao publica","SANDRA HELENA GURGEL DANTAS DE MEDEIROS","RUBENS MARQUES DE LUCENA"
"educacao infantil, direitos humanos e politicas publicas: uma analise sobre os processos de institucionalizacao das creches em joao pessoa","EDNA GUSMAO DE GOES BRENNAND","FERNANDO CEZAR BEZERRA DE ANDRADE"
"mecanismos de gestao e disseminacao de atividades culturais em instituicoes da cidade de joao pessoa","EDVALDO CARVALHO ALVES","ISA MARIA FREIRE"
"estudo fitoquimico com fins farmacologicos de especies de plantas utilizadas pela medicina popular","JOSE MARIA BARBOSA FILHO","MARCELO SOBRAL DA SILVA"
"medievalismo na literatura brasileira","GENILDA ALVES DE AZEREDO","LUCIA FATIMA FERNANDES NOBRE"
"efeito da alimentacao restrita e realimentacao sobre o desempenho e as caracteristicas de carcaca de cordeiros santa ines","JULIANA SILVA DE OLIVEIRA","FERNANDO GUILHERME PERAZZO COSTA"
"risco de desastres em ambientes urbanos","EDMUNDO MARINHO DO MONTE","JOSE AUGUSTO RIBEIRO DA SILVEIRA"
"processamento de bebida fermentada funcional utilizando leite caprino e extrato hidrossoluvel de soja","MARTA SUELY MADRUGA","RICARDO TARGINO MOREIRA"
"o estado da arte sobre educacao popular na pos-graduacao do nordeste: servico social e educacao (1980- 2010)","BERNADETE DE LOURDES FIGUEIREDO DE ALMEIDA","MARIA AUGUSTA TAVARES"
"analise da estabilidade e atividade mioeletrica de atletas de voleibol, submetidas a utilizacao de ortese dinamica do tornozelo e bandagem funcional","MARIA CLAUDIA GATTO CARDIA","MARIA DE FATIMA ALCANTARA BARROS"
"limitacoes digitais e governo eletronico: estudo centrado no cidadao","JAMES BATISTA VIEIRA","CESAR EMANOEL BARBOSA DE LIMA"
"pensar o nordeste e os seus sujeitos: circulacao de ideias, historia dos intelectuais e educacao no brasil","ROSE MARY DE SOUZA ARAUJO","MAURICEIA ANANIAS"
"desenvolvimento de um fotometro nir multi-led com deteccao baseada em imagens digitais","SHERLAN GUIMARAES LEMOS","LUCIANO FARIAS DE ALMEIDA"
"resposta olfatometrica de cosmopolites sordidus germar, 1824 e metamasius hemipterus l. (col.: curculionidae) a diferentes genotipos de banana musa sp.","LUCIANA CORDEIRO DO NASCIMENTO","LEONARDO DANTAS DA SILVA"
"a ditadura militar na paraiba: os anos de chumbo (1969-1974)","TELMA CRISTINA DELGADO D FERNANDES","SERIOJA RODRIGUES CORDEIRO MARIANO"
"avaliacoes craniometricas da transicao craniovertebral em populacao do sertao nordestino brasileiro por meio de ressonancia magnetica","EDUARDO SERGIO SOARES SOUSA","CARLOS FERNANDO DE MELLO JUNIOR"
"aplicacoes de quasicristais na industria","DANNIEL FERREIRA DE OLIVEIRA","TIBERIO ANDRADE DOS PASSOS"
"o piano na musica brasileira do seculo xxi: repertorio, demanda tecnicas e performance","JOSE HENRIQUE PADOVANI VELLOSO","VALERIO FIEL DA COSTA"
"historia e sensibilidades: sobre historia do amor na literatura marginal no brasil (1970)","CLAUDIA ENGLER CURY","PAULO GIOVANI ANTONINO NUNES"
"a dinamica do emprego industrial nos estados das regioes sudeste e sul do brasil, no periodo de 1994-2010.","ANA CANDIDA FERREIRA VIEIRA","SINEZIO FERNANDES MAIA"
"a traducao de obras francesas no brasil: tradutores e mercado editorial","LUCIA FATIMA FERNANDES NOBRE","KARINA CHIANCA VENANCIO"
"interacao de atomos com superficies e campos externos.","MARTINE PATRICIA ARLTTE CHEVROLLER","JORGE GABRIEL GOMES DE SOUZA RAMOS"
"os mecanismos de governanca democratica das politicas publicas","ROBERTO MENDOZA","VANDERSON GONCALVES CARNEIRO"
"desempenho e evolucao do setor exportador paraibano","ANA CANDIDA FERREIRA VIEIRA","SINEZIO FERNANDES MAIA"
"acervos e antropologia visual: dialogo e conhecimento das imagens na regiao de rio tinto - pb","PEDRO FRANCISCO GUEDES DO NASCIMENTO","MONICA LOURDES FRANCH GUTIERREZ"
"os quiropteros no nordeste do brasil: taxonomia, diversidade e distribuicao geografica","RICARDO DE SOUZA ROSA","CELSO FEITOSA MARTINS"
"gente negra no nordeste oitocentista: arranjos familiares e redes de sociabilidades","CLAUDIA ENGLER CURY","SERIOJA RODRIGUES CORDEIRO MARIANO"
"questao agraria na paraiba: estrutura fundiaria, movimentos sociais e reforma agraria","EDUARDO RODRIGUES VIANA DE LIMA","BARTOLOMEU ISRAEL DE SOUZA"
"culturas politicas e redes familiares na paraiba oitocentista","TELMA CRISTINA DELGADO D FERNANDES","SOLANGE PEREIRA DA ROCHA"
"o habitar moderno e contemporaneo como objeto de reflexao das relacoes entre historia e projeto atraves da analise grafica","IVAN CAVALCANTI FILHO","JOVANKA BARACUHY CAVALCANTI"
"modernizacao tecnologica e desenvolvimento social. um estudo das midias digitais. redes sociais e empoderamento coletivo.","MARCOS ANTONIO NICOLAU","SANDRA RAQUEW DOS SANTOS AZEVEDO"
"perfil das vitimas de trauma por acidente de motocicletas atendidas em hospital publico","HELEODORIO HONORATO DOS SANTOS","GILMARIO RICARTE BATISTA"
"potencial fitoterapico do oleo essencial de mentha piperita (hortela-pimenta)","CLAUDIA HELENA SOARES DE MORAIS FREITAS","FABIO CORREIA SAMPAIO"
"o cientista social paraibano: trajetoria dos egressos do curso de ciencias sociais da ufpb campus i.","GEOVANIA DA SILVA TOSCANO","OSICLEIDE DE LIMA BEZERRA"
"correlatos valorativos dos atributos pessoais do jeitinho brasileiro","THIAGO ANTONIO AVELLAR DE AQUINO","SILVANA CARNEIRO MACIEL"
"sobre solucoes para uma classe de equacoes de schrodinger semilineares e quaselineares","PAULO GIOVANI ANTONINO NUNES","FAGNER DIAS ARARUNA"
"estresse ou satisfacao no trabalho? um estudo correlacional com servidores publicos","VALDINEY VELOSO GOUVEIA","ANA RAQUEL ROSAS TORRES"
"sensores eletroquimicos a base de porfirinas","MARCIO JOSE COELHO DE PONTES","LILIANA DE FATIMA BEZERRA LIRA DE PONTES"
"sensibilidade ao contraste visual de pacientes com transtornos neuropsiquiatricos medicados","FLAVIO FREITAS BARBOSA","PAULO CESAR ZAMBRONI DE SOUZA"
"avaliacao da atividade antitumoral e toxicidade de produtos naturais","HILZETH DE LUNA FREIRE PESSOA","MARGARETH DE FATIMA FORMIGA MELO DINIZ"
"quando as mulheres escrevem: textos sobre educacao na imprensa da paraiba (decadas de 1920 e 1930)","MAURICEIA ANANIAS","FABIANA SENA DA SILVA"
"o enfrentamento ao trabalho infantil no municipio de joao pessoa. o que ha de novo no cenario?","THIAGO ANTONIO AVELLAR DE AQUINO","IZABEL FRANCA DE LIMA"
"para ler o digital: a reconfiguracao do livro na era da cibercultura","CLAUDIO CARDOSO DE PAIVA","MARCEL VIEIRA BARRETO SILVA"
"qualidade de vida e capacidade funcional de idosos atendidos em ambulatorio de geriatria","MARIA BERNADETE DE SOUSA COSTA","MARIA DAS GRACAS MELO FERNANDES"
"abordagem cognitiva das construcoes linguisticas na variedade pessoense","SANDRA HELENA GURGEL DANTAS DE MEDEIROS","HERMANO DE FRANCA RODRIGUES"
"planejamento racional de moduladores redox para tratamento de fisiopatologias de estresse oxidativo","IEDA MARIA GARCIA DOS SANTOS","FERNANDO JOSE VOLPI EUSEBIO DE OLIVEIRA"
"investigacao dos efeitos antibacteriano e genotoxico de cumarinas naturais e sinteticas","MARIANNA VIEIRA SOBRAL CASTELLO BRANCO","MARGARETH DE FATIMA FORMIGA MELO DINIZ"
"da zona da mata ao sertao: a luta pela terra e a construcao de territorio(s) de esperanca na paraiba","MARCO ANTONIO MITIDIERO JUNIOR","ANIERES BARBOSA DA SILVA"
"bioprospeccao de fungos celuloliticos provenientes da agroindustria e otimizacao da producao de celulases","VALDIR DE ANDRADE BRAGA","ANDREA FARIAS DE ALMEIDA"
"estudo quimico-medicinal de amidas potencialmente antifungicas","LEONIA MARIA BATISTA","BARBARA VIVIANA DE OLIVEIRA SANTOS"
"socializacao materna, empatia e comprometimento dos filhos com os direitos humanos","NELSON TORRO ALVES","JULIO RIQUE NETO"
"iconografia franciscana, cultura historica e saberes dos frades menores no nordeste colonial (seculos xvii a xix)","CLAUDIA ENGLER CURY","TELMA CRISTINA DELGADO D FERNANDES"
"avaliacao da gestao das instituicoes de acolhimento para criancas e adolescentes de joao pessoa/pb","ALINE MARIA BATISTA MACHADO","MARIA AUGUSTA TAVARES"
"a analise do discurso gerencial sobre o processo de aprendizagem","MARCIO ANDRE VERAS MACHADO","RAISSA DALIA PAULINO"
"fatores associados a qualidade do sono e ao impacto sobre o desgaste emocional entre graduandos do curso de odontologia da universidade federal da paraiba","FRANKLIN DELANO SOARES FORTE","ANDRESSA FEITOSA BEZERRA DE OLIVEIRA"
"formacao profissional, praticas docentes e construcao da identidade de professores de geografia da escola basica em joao pessoa - pb","EDUARDO RODRIGUES VIANA DE LIMA","MARCO ANTONIO MITIDIERO JUNIOR"
"prevalencia das hemoparasitoses no municipio de areia-pb","IVIA CARMEM TALIERI","RICARDO BARBOSA DE LUCENA"
"avaliacao do processo oxidativo lipidico e proteico na qualidade do charque de frango","EDVALDO MESQUITA BELTRAO FILHO","RAQUEL LIMA SALGADO"
"estrutura narrativa de ficcao seriada","LUIZ ANTONIO MOUSINHO MAGALHAES","THIAGO SOARES"
"diversificacao e dispersao da arquitetura brasileira nas revistas especializadas nas decadas de 1970 e 1980","JOVANKA BARACUHY CAVALCANTI","MARIA BERTHILDE DE BARROS LIMA E MOURA FILHA"
"cenarios de pratica no ensino medico: revisao sistematica da literatura","JORIA VIANA GUERREIRO","JADER FREIRE SOBRAL FILHO"
"abundancia e vitalidade de corais escleractinios no brasil: comparacoes entre especies e areas geograficas","DENISE DIAS DA CRUZ","FREDERICO GUSTAVO RODRIGUES FRANCA"
"a terapia comunitaria como estrategia para o empoderamento do portador de sofrimento psiquico no processo de desisntitucionalizacao","ORIANA DEYZE CORREIA PAIVA LEADEBAL","JOAO EUCLIDES FERNANDES BRAGA"
"inducao in vitro de plantas haploides e duplo-haploides de maracujazeiro (passiflora edulis sims) por meio de ovulo nao fertilizado","ANA EMILIA BARROS E SILVA","ELEONIDAS MOURA LIMA"
"caracterizacao da microbiota do teto e do leite de cabras com e sem mastite por pirosequenciamento do gene rrna16s-uma abordagem metagenomica","VALESKA SHELDA PESSOA DE MELO","RAFAEL FELIPE DA COSTA VIEIRA"
"integracao dos dados de natureza fisiologica, perceptual, acustica e de autoavaliacao em pacientes disfonicos","LUCIANA PIMENTEL FERNANDES DE MELO","ANNA ALICE FIGUEIREDO DE ALMEIDA"
"estudo integrado em instrumentacao e controle, energia e ciencia termica","ALBERTO SOTO LOCK","RUY ALBERTO PISANI ALTAFIM"
"biologia, parametros populacionais e analise do comercio de cavalos-marinhos (teleostei: syngnathidae: hippocampus) no brasil","ALDA LUCIA DE LIMA AMANCIO","IAN PORTO GURGEL DO AMARAL"
"desenvolvimento de estruturas porosas feitas de polimeros para aplicacoes em engenharia de tecidos, pela combinacao de tecnicas: fiacao por sopro em solucao (solution blow spinning) e separacao de fase termicamente induzida (thermally induced phase separa","MAX ROCHA QUIRINO","LISZANDRA FERNANDA ARAUJO CAMPOS"
"violencia contra as mulheres e sistema juridico brasileiro: percurso conceitual e historico da perspectiva dominacao-vitimizacao","ENOQUE FEITOSA SOBREIRA FILHO","LORENA DE MELO FREITAS"
"biodisponibilidade de fontes comerciais de aminoacidos para codornas","ROBERTO GERMANO COSTA","LEONARDO AUGUSTO FONSECA PASCOAL"
"trajetorias familiares pos - violencia sexual: estudo sobre as repercussoes sociais tardias nas relacoes intrafamiliares","ROSALIA GOUVEIA FILIZOLA","CLAUDIO SERGIO MEDEIROS PAIVA"
"pesquisa, desenvolvimento e inovacao em tecnologias para producao e uso de biodieseis derivados de oleos de microalgas","FLAVIA DE OLIVEIRA PAULINO","DEMETRIUS ANTONIO MACHADO DE ARAUJO"
"efeito do consumo do queijo de cabra probiotico potencial no perfil nutricional, serico e histopatologico de ratos","MARIA LUCIA DA CONCEICAO","JAILANE DE SOUZA AQUINO"
"subconjuntos terminologicos da cipe(r) para areas de especialidades clinicas e da atencao basica em saude","FRANCILEIDE DE ARAUJO RODRIGUES","MARIA EMILIA LIMEIRA LOPES"
"reorientacao da formacao em cursos de odontologia do nordeste brasileiro: avaliacao a partir das diretrizes curriculares nacionais","WILTON WILNEY NASCIMENTO PADILHA","BIANCA MARQUES SANTIAGO"
"representacoes sociais sobre ser idoso, velho e jovem no contexto da saude: um estudo com idosos, estudantes universitarios e de segundo grau.","MARIA DE OLIVEIRA FERREIRA FILHA","JOAO EUCLIDES FERNANDES BRAGA"
"rede de sensores sem fio com processamento embarcado para determinacao do torque dinamico, eficiencia e diagnostico de falhas em motores de inducao em ambiente industrial","YURI PERCY MOLINA RODRIGUEZ","ANTONIO AUGUSTO LISBOA DE SOUZA"
"condicoes de vida, saude e envelhecimento: um estudo comparado","JOSE DA PAZ OLIVEIRA ALVARENGA","MARIA ADELAIDE SILVA PAREDES MOREIRA"
"biomateriais hibridos como sistemas de liberacao controlada de farmacos","WAGNER DE MENDONCA FAUSTINO","ERCULES EPAMINONDAS DE SOUSA TEOTONIO"
"avaliacao do perfil de metilacao do gene inibidor de metaloproteinase em amostras de cancer gastrico das regioes norte e nordeste","JOSE PINTO DE SIQUEIRA JUNIOR","NAILA FRANCIS PAULO DE OLIVEIRA"
"a docencia masculina em tempos de feminizacao do magisterio: facetas de genero no debate sobre profissao docente na parahyba do norte (1860-1920)","CHARLITON JOSE DOS SANTOS MACHADO","MAURICEIA ANANIAS"
"viabilidade e morfologia polinica de especies com diferentes estrategias reprodutivas","EVELISE MARCIA LOCATELLI DE SOUZA","ZELMA GLEBYA MACIEL QUIRINO"
"a escrita na escola na era digital","WILSON HONORATO ARAGAO","LEBIAM TAMAR GOMES SILVA"
"a mediacao pedagogica das representacoes semioticas no ensino de matematica nos anos iniciais de escolarizacao","WILSON HONORATO ARAGAO","FRANCISCO JOSE PEGADO ABILIO"
"prevalencia das infeccoes pelo htlv e hcv em portadores do virus da imunodeficiencia humana (hiv)","VIRGINIA ANGELA MENEZES DE LUCENA E CARVALHO","JOSE SOARES DO NASCIMENTO"
"ativismo juridico e justica transnacional","ENOQUE FEITOSA SOBREIRA FILHO","LORENA DE MELO FREITAS"
"bionanocompositos a base de quitosana/silicatos em camadas: efeito do teor de quitosana e do silicato em camadas na morfologia dos filmes","JULIANO ELVIS OLIVEIRA","FLAVIA DE MEDEIROS AQUINO"
"levantamento qualitativo e quantitativo dos residuos gerados no laboratorio de quimica analitica da ufpb - campus ii","EDVAN CIRINO DA SILVA","MARCIO JOSE COELHO DE PONTES"
"avaliacao in vitro da acao antibacteriana e antiaderente de colutorios com e sem alcool sobre streptococcus mutans","FRANKLIN DELANO SOARES FORTE","CLAUDIA HELENA SOARES DE MORAIS FREITAS"
"educacao de surdos: a formacao do educador em foco","ADELAIDE ALVES DIAS","MARINILSON BARBOSA DA SILVA"
"analise do potencial erosivo de diferentes bebidas acidas no esmalte dentario: um estudo in vitro","ANA MARIA GONDIM VALENCA","MARIZE RAQUEL DINIZ DA ROSA"
"caracterizacao e distribuicao das sequencias satelite na subfamilia aurantioideae (rutaceae): uma forma de compreender a evolucao cromossomica e as relacoes filogeneticas dentro do grupo","MAILSON MONTEIRO DO REGO","JOSE PINTO DE SIQUEIRA JUNIOR"
"atuacao da fisioterapia em usuarios da atencao basica de saude portadores de fibromialgia","KATIA SUELY QUEIROZ SILVA RIBEIRO","JOSE JAMACY DE ALMEIDA FERREIRA"
"manejo de olericolas em sistemas de producao submetido a estresse abiotico e biorreguladores","KELLY CRISTIANE GOMES DA SILVA","ALEXANDRE JOSE SOARES MINA"
"construcao da linha de cuidado em saude bucal","ANA MARIA GONDIM VALENCA","MARIZE RAQUEL DINIZ DA ROSA"
"heterogeneidade espaco-temporal e respostas as mudancas climaticas (grupo de trabalho 1.3 - os recifes e os ecossistemas coralinos)","CRISTIANE FRANCISCA DA COSTA SASSI","GEORGE EMMANUEL CAVALCANTI DE MIRANDA"
"caracterizacao morfologica dos hemocitos da ostra crassostrea gasar.","ALDA LUCIA DE LIMA AMANCIO","IAN PORTO GURGEL DO AMARAL"
"estudos de interacoes fundamentais em superficie e difusao de fotons em um vapor atomico ressonante","PAULO SERGIO RODRIGUES DA SILVA","THIERRY MARCELINO PASSERAT DE SILANS"
"composicao de acidos graxos com enfase no acido linoleico conjugado (cla) de queijos e produtos lacteos fermentados produzidos no estado da paraiba","MARCIA ROSEANE TARGINO DE OLIVEIRA","ELISANDRA COSTA ALMEIDA"
"materiais hibridos derivados da interacao de argilominerais e farmacos","WAGNER DE MENDONCA FAUSTINO","ERCULES EPAMINONDAS DE SOUSA TEOTONIO"
"quitosana na forma de esferas, microesferas e nanoparticulas como carreadora de farmacos","WAGNER DE MENDONCA FAUSTINO","JULIO SANTOS REBOUCAS"
"praticas de cuidado no sistema formal e informal de saude","RONALDO BEZERRA DE QUEIROZ","JOSE DA PAZ OLIVEIRA ALVARENGA"
"controle biologico de mosca-das-frutas ceratitis capitata (diptera:tephritidae)","PERICLES DE FARIAS BORGES","LEONARDO DANTAS DA SILVA"
"avaliacao da producao de celulases por bacterias isoladas da agroindustria sucroalcooleira","MERCIA MELO DE ALMEIDA MOTA","VERUSCKA ARAUJO SILVA"
"limites assintoticos de sistemas nao-lineares","ELADIO JOSE DE GOES BRENNAND","UBERLANDIO BATISTA SEVERO"
"bariogenesis via leptogenesis no contexto dos modelos 3-3-1","PAULO SERGIO RODRIGUES DA SILVA","EUGENIO RAMOS BEZERRA DE MELO"
"avaliacao in vitro da aderencia de streptococcus mutans a superficie de dois modelos de braquetes autoligados.","CLAUDIA BATISTA MELO","PAULO ROGERIO FERRETI BONAN"
"vulnerabilidades em saude: acesso aos servicos de saude e vulnerabilidades de residentes em cidades rurais","THIAGO ANTONIO AVELLAR DE AQUINO","IZABEL FRANCA DE LIMA"
"biologia das raias da ordem myliobatiformes (chondrichthyes: elasmobranchii)","ALFREDO RICARDO LANGUTH BONINO","CELSO FEITOSA MARTINS"
"perfil do paciente obeso pre e pos-intervencao bariatrica num hospital universitario","ARISTIDES MEDEIROS LEITE","IAPONIRA CORTEZ COSTA DE OLIVEIRA"
"fauna parasitaria de traira (hoplias malabaricus) proveniente de acudes localizados no municipio de sume, estado da paraiba","VALESKA SHELDA PESSOA DE MELO","RICARDO BARBOSA DE LUCENA"
"macroesferas porosas para liberacao de feromonios","ELITON SOUTO DE MEDEIROS","AMELIA SEVERINO FERREIRA E SANTOS"
