"Projeto:","Avaliador 1:","Avaliador 2:"
"mecanismos neurais da formacao da memoria episodica","ANGELA MARIA DIAS FERNANDES","NATANAEL ANTONIO DOS SANTOS"
"identificacao das abordagens de custos logisticos em industrias regionais","CLAUDIA FABIANA GOHR","MARIA DE LOURDES BARRETO GOMES"
"avaliacao fisica, quimica e microbiologica do diesel, biodiesel, suas misturas e seus possiveis sedimentos formados durante o armazenamento","SHERLAN GUIMARAES LEMOS","MARCIO JOSE COELHO DE PONTES"
"marketing de lugares para qualidade de vida: uma analise orientada aos residentes","CESAR EMANOEL BARBOSA DE LIMA","MARCIO ANDRE VERAS MACHADO"
"ler e escrever nos folhetos jocosos lusos dos seculos xviii e xix","ALVANIRA LUCIA DE BARROS","EVERTON BARBOSA CORREIA"
"a circulacao de generos textuais em lingua inglesa no setor hoteleiro de joao pessoa","LAURENIA SOUTO SALES","TANIA LIPARINI CAMPOS"
"o papel dos movimentos sociais no fortalecimento da efetivacao do estatuto da cidade como articuladores de acoes de reconquista dos centros: um olhar sobre a experiencia de joao pessoa, paraiba.","NELCI TINEM","IVAN CAVALCANTI FILHO"
"desenvolvimento de um modelo de referencia para a implantacao da producao enxuta em operacoes de servicos","CLAUDIA FABIANA GOHR","MARIA DE LOURDES BARRETO GOMES"
"os registros vitais e as condicoes de vida no semi-arido brasileiro","GUILHERME BARBOSA SCHULZE","CARLOS XAVIER DE AZEVEDO NETTO"
"obtencao de biomodulador a partir da parede celular de saccharomyces spp. descartada apos processo fermentativo de producao da cerveja","NEIVA MARIA DE ALMEIDA","FERNANDA VANESSA GOMES DA SILVA"
"estudos sobre a acomodacao linguistica no portugues brasileiro","RAQUEL BASILIO DA CUNHA DIAS DE MELO","DERMEVAL DA HORA OLIVEIRA"
"aplicacoes de quasicristais na industria de petroleo","GILBERTO AUGUSTO AMADO MOREIRA","RAIMUNDO APRIGIO DE MENEZES JUNIOR"
"analise critica dos direitos humanos","ENOQUE FEITOSA SOBREIRA FILHO","EDUARDO RAMALHO RABENHORST"
"desenvolvimento de uma garra robotica acionada com atuadores de liga com memoria de forma.","DARLAN ALEXANDRIA FERNANDES","NADY ROCHA"
"analise e comparacao de estrategias de codificacao aplicadas a solucao do problema de alocacao otima volt/var em sistemas de distribuicao usando algoritmos geneticos","YURI PERCY MOLINA RODRIGUEZ","KLEBER CARNEIRO DE OLIVEIRA"
"estudo quimico de algas marinhas coletadas no litoral paraibano","LEONIA MARIA BATISTA","MARCELO SOBRAL DA SILVA"
"respostas neuroendocrinas e autonomicas induzidas pelo estimulo angiotensinergico central- papel dos astrocitos hipotalamicos","LAURENIA SOUTO SALES","ELIO CHAVES FLORES"
"sistema fotovoltaico isolado","ROMERO LEANDRO ANDERSEN","JUAN MOISES MAURICIO VILLANUEVA"
"avaliacao de sinais de transtornos da conduta alimentar e suas principais comorbidades em academicos da area da saude da universidade federal da paraiba.","CRISTIANNE DA SILVA ALEXANDRE","EUTILIA ANDRADE MEDEIROS FREIRE"
"o vale do mamanguape na obra de joaquim cardozo","LUCIANE ALVES SANTOS","CARLOS AUGUSTO DE MELO"
"qualidade do sono, sonolencia diurna e nivel de atividade fisica em docentes do centro de ciencias da saude da universidade federal da paraiba","MARIA DO SOCORRO CIRILO DE SOUSA","JOSE CAZUZA DE FARIAS JUNIOR"
"a problematica justificacao da verdade, em habermas","MIGUEL ANTONIO DO NASCIMENTO","ANDERSON DARC FERREIRA"
"leishmaniose visceral humana: estudo de marcadores imunologicos e sua importancia no prognostico de doenca sintomatica e assintomatica","SANDRA RODRIGUES MASCARENHAS","GICIANE CARVALHO VIEIRA"
