Projeto:,Avaliador 1:,Avaliador 2:
sintese e analise da atividade antimicrobiana de esponjas a base de quitosana e policaprolactona (pcl) sobre microrganismos orais,SONIA SAEGER MEIRELES MONTE RASO,LEOPOLDINA DE FATIMA DANTAS DE ALMEIDA
validacao transcultural de questionario sobre lideranca e gestao em odontologia,DAYANE FRANCO BARROS MANGUEIRA LEITE,CARMEM SILVA LAUREANO DALLE PIAGGE
design na fabrica da companhia de tecidos rio tinto.,ANGELICA DE SOUZA GALDINO ACIOLY,ANA CAROLINA KRUTA DE ARAUJO BISPO
triagem neonatal: percepcao dos medicos obstetras e pediatras sobre teste do pezinho,JULIANA FRANCO ALMEIDA,SAVIO TORRES DE FARIAS
fotocatalise solar: aplicacao no tratamento de efluentes recalcitrantes,ADRIANO ROLIM DA PAZ,CARMEM LUCIA MOREIRA GADELHA
"fenologia reprodutiva de duas especies de mangue no estuario do rio mamanguape, estado da paraiba",ALAN LOURES RIBEIRO,ZELMA GLEBYA MACIEL QUIRINO
"dinamica territorial, construcoes identitarias, nocoes de pessoa e praticas xamanisticas no nordeste indigena: os potiguara da paraiba como caso especifico (segunda etapa)",PEDRO FRANCISCO GUEDES DO NASCIMENTO,MAURO GUILHERME PINHEIRO KOURY
"teodiceias entre maternidades paradoxais: a influencia da religiosidade no enfrentamento da realidade social da maternidade com criancas portadoras da microcefalia, associada ao surto de zika virus no nordeste brasileiro",DILAINE SOARES SAMPAIO,EUNICE SIMOES LINS GOMES
a escola de tempo integral e as implicacoes no curriculo: um estudo dos programas mais educacao e ensino medio inovador (proemi),MARIA ZULEIDE DA COSTA PEREIRA,RITA CRISTIANA BARBOSA
o ensino de genetica humana e medica na graduacao medica,JULIANA FRANCO ALMEIDA,SAVIO TORRES DE FARIAS
traducao e validacao do questionario birmingham vasculitis activity score (bvas) sobre atividade de doenca em pacientes com vasculites primarias sistemicas,RILVA LOPES DE SOUSA MUNOZ,CLAUDIO ROBERTO BEZERRA DOS SANTOS
