Projeto:,Avaliador 1:,Avaliador 2:
letramento digital do corpo discente da ufpb - ccta,TANIA LIPARINI CAMPOS,FABIO ALEXANDRE SILVA BEZERRA
estudo do efeito central/antinociceptivo e das alteracoes neuroquimicas apos administracao do 3-careno e/ou outros monoterpenos em camundongos,DANIELA PRISCILA MARCHI SALVADOR,BAGNOLIA ARAUJO DA SILVA
aspectos ecologicos da biologia reprodutiva de pilosocereus catingicola (gurke) byles & rowley subsp.salvadorensis (werderm.) zappi (cactaceae) em populacao no municipio de bananeiras-pb,ELAINE BERNINI,DANIELLE GOMES DE SOUZA
escritos para a educacao: participacao de professoras na revista de ensino - paraiba (1932-1942),FABIANA SENA DA SILVA,VIVIA DE MELO SILVA
aspectos juridicos do mundo da arte,JAILTON MACENA DE ARAUJO,BELINDA PEREIRA DA CUNHA
o trabalho na estrategia saude da familia,KATIA NEYLA DE FREITAS MACEDO,JULIANA SAMPAIO
analises e acionamento de maquinas eletricas polifasicas,ROMERO LEANDRO ANDERSEN,SIMPLICIO ARNAUD DA SILVA
quedas e risco de lesoes em ambientes hospitalares,MARTA MIRIAM LOPES COSTA CUNHA,FRANCILEIDE DE ARAUJO RODRIGUES
nocoes de justica nos casos de homicidio afetivo-conjugal: o que dizem os juizes leigos?,TERESA CRISTINA FURTADO MATOS,SIMONE MAGALHAES BRITO
"analise ecologica de comunidades de aves do campus i da ufpb, municipio de joao pessoa, pb",VENIA CAMELO DE SOUZA,ZELMA GLEBYA MACIEL QUIRINO
"traducao, historia e desigualdades literarias",DANIELA MARIA SEGABINAZI,HERMANO DE FRANCA RODRIGUES
aplicacao com sensores piezoeletricos,EULER CASSIO TAVARES DE MACEDO,ALEXSANDRO JOSE VIRGINIO DOS SANTOS
parasitos de peixes no extremo oriental da regiao neotropical,MARCIO BERNARDINO DA SILVA,MARTIN LINDSEY CHRISTOFFERSEN
processos pedogeneticos em solos do manguezal da apa do rio mamanguape-pb,MANOEL ALEXANDRE DINIZ NETO,VANIA DA SILVA FRAGA
"ciencia, tecnologia, sociedade e ambiente (ctsa) no ensino de ciencias e biologia: o que dizem os livros didaticos publicados no periodo 2010 - 2014",MONICA DIAS PALITOT,MARIA ALVES DE AZEREDO
producao do alho negro e avaliacao da composicao centesimal e microbiologica e a influencia da embalagem e armazenamento,PRISCILLA DINIZ LIMA DA SILVA BERNARDINO,ISMAEL IVAN ROCKENBACH
atuadores termoeletricos inteligentes,CICERO DA ROCHA SOUTO,JOSE MAURICIO RAMOS DE SOUZA NETO
especies florestais da caatinga: monitoramento da producao e tecnologia de sementes com vistas a area de coleta de sementes,BELISIA LUCIA MOREIRA TOSCANO DINIZ,REJANE MARIA NUNES MENDONCA
"hidrocarbonetos policiclicos aromaticos: metodologias voltametricas  para sua determinacao em matrizes ambientais, biologicas e alimenticias",EDVAN CIRINO DA SILVA,MARCIA HELENA PONTIERI
origem e evolucao dos grandes virus nucleocitoplasmaticos de dna,CRISTINA WIDE PISSETTI,MAILSON MONTEIRO DO REGO
elaboracao e caracterizacao de fermentado alcoolico de mangaba (hancornia speciosa gomes),RICARDO TARGINO MOREIRA,IRIS BRAZ DA SILVA ARAUJO
avaliacao de variaveis epidemiologicas e comportamentais nas doencas parasitarias: um estudo comparativo de coortes prospectivas em pacientes hospitalares e atendidos pelas unidades basicas de saude.,RONALDO RODRIGUES SARMENTO,MARILIA GABRIELA DOS SANTOS CAVALCANTI
a aids e as mulheres indigenas: representacoes sociais na etnia potiguara,MARIA ELIANE MOREIRA FREIRE,GREICY KELLY GOUVEIA DIAS BITTENCOURT
alteracoes de fala e linguagem e transtornos psiquiatricos na infancia,GIORVAN ANDERSON DOS SANTOS ALVES,MARINE RAQUEL DINIZ DA ROSA
estudo molecular do relogio biologico do peixe-zebra (danio rerio): implicacoes no crescimento somatico e tecidual,MARINO EUGENIO DE ALMEIDA NETO,PATRICIA MIRELLA DA SILVA SCARDUA
abordagem pedagogica no curso de odontologia da ufpb: percepcao de docentes e discentes,FRANKLIN DELANO SOARES FORTE,LUCIANO BEZERRA GOMES
desempenho do desenvolvimento sustentavel em territorio que licencia atividades potencialmente poluidoras.,ADRIANA FERNANDES DE VASCONCELOS,WENNER GLAUCIO LOPES LUCENA
expressao do gene imediato c-fos em uma tarefa espaco-temporal em ratos wistar,NATANAEL ANTONIO DOS SANTOS,LIANA CLEBIA DE MORAIS PORDEUS
origem e evolucao das rotas metabolicas,CRISTINA WIDE PISSETTI,MAILSON MONTEIRO DO REGO
densidade de plantas e producao de mudas de umbuzeiro visando o enriquecimento da caatinga,BELISIA LUCIA MOREIRA TOSCANO DINIZ,THIAGO JARDELINO DIAS
mudancas climaticas e seus impactos no nordeste brasileiro,RAPHAEL MOREIRA BEIRIGO,FABRICIO LOPES DE MACEDO
otimizacao da conversao de sisal em etanol celulosico,SILDIVANE VALCACIA SILVA,EDSON LUIZ FOLADOR
analise de requisitos e adequacao do website do curso de biblioteconomia da universidade federal da paraiba,JOANA COELI RIBEIRO GARCIA,MARCIA VERONICA COSTA MIRANDA
"biogeografia e sistematica de aracnideos da mata atlantica, com enfase nos opilioes (arachnida)",ANA CAROLINA FIGUEIREDO LACERDA SAKAMOTO,MARTIN LINDSEY CHRISTOFFERSEN
estrategias e convivencias no semiarido brasileiro: a energia da biomassa florestal da paraiba,PAULO ROTELA JUNIOR,ANAND SUBRAMANIAN
avaliacao da producao de biossurfactantes por micro-organimos em meio de cultivo com diferentes residuos como substrato,VIVIAN STUMPF MADEIRA,JOSILENE DE ASSIS CAVALCANTE
estudo da atividade antidiarreica de extratos brutos e constituintes ativos obtidos de produtos naturais em modelos animais,JOSEAN FECHINE TAVARES,ISLANIA GISELIA ALBUQUERQUE GONCALVES
direito humano ao trabalho e desenvolvimento no contexto do estado social e(m) crise,BELINDA PEREIRA DA CUNHA,MARLENE HELENA DE OLIVEIRA FRANCA
aderencia do uso de indicadores desempenho associados as perspectivas do balanced scorecard referente as distintas escolas do pensamento estrategico,RENATA FRANCISCO BALDANZA,NELSIO RODRIGUES DE ABREU
sistema embarcado para deteccao de falhas em veiculos automotivos pela analise sonora,RAIMUNDO APRIGIO DE MENEZES JUNIOR,GILBERTO AUGUSTO AMADO MOREIRA
degradacao de poluentes organicos persistentes de aguas e efluentes utilizando processos de oxidacao avancada,FABIOLA DIAS DA SILVA CURBELO,RAUL ROSENHAIM
correlacao entre as reacoes histologicas de esmalte e dentina em lesoes cariosas proximais: comparacao entre estereomicroscopia e radiomicrografia como tecnicas de validacao,HELOISA HELENA PINHO VELOSO,BIANCA MARQUES SANTIAGO
avaliacao da toxicidade e atividade antitumoral de produtos naturais e sinteticos bioativos,BAGNOLIA ARAUJO DA SILVA,FABIANA DE ANDRADE CAVALCANTE
"avaliacao da qualidade de vida no trabalho (qvt), segundo a percepcao dos trabalhadores do campo e no ambiente interno (processo de producao e administracao) numa destilaria de alcool sediada na paraiba",MARIA SILENE ALEXANDRE LEITE,RICARDO MOREIRA DA SILVA
efeito da concentracao de amonia ruminal sobre o aproveitamento de forragem para caprinos,JOSE JORDAO FILHO,SEVERINO GONZAGA NETO
projeto tiquinho de alegria: a palhacoterapia na humanizacao hospitalar e na educacao em saude,GILKA PAIVA OLIVEIRA COSTA,EDUARDO SERGIO SOARES SOUSA
desenvolvimento teorico e computacional para modelos probabili?sticos estendidos em analise de sobrevivencia,RONEI MARCOS DE MORAES,HEMILIO FERNANDES CAMPOS COELHO
potencial remineralizador de dentifricios fluoretados na erosao do esmalte: estudo in vitro,ISABELLA LIMA ARRAIS RIBEIRO,ANA MARIA GONDIM VALENCA
a producao da casa e da cidade: morfologia urbana e desigualdades socioespaciais nas cidades medias brasileiras,BARTOLOMEU ISRAEL DE SOUZA,MARIA DE FATIMA FERREIRA RODRIGUES
impacto do ruido na saude de trabalhadores,MARINE RAQUEL DINIZ DA ROSA,LEANDRO DE ARAUJO PERNAMBUCO
base nacional comum curricular: uma analise a partir do ciclo de politicas de stephen ball,ANA CLAUDIA DA SILVA RODRIGUES,RITA CRISTIANA BARBOSA
"espaco, salubridade e higiene: as epidemias e as alteracoes do espaco urbano e da vida dos habitantes da cidade da parahyba entre os anos de 1854 e 1912",MARCELO DE OLIVEIRA MOURA,MARCO ANTONIO MITIDIERO JUNIOR
tilapia do nilo nutridas com dietas contendo suplementacao enzimatica,TEREZINHA DOMICIANO DANTAS MARTINS,ARIOSVALDO NUNES DE MEDEIROS
mudancas significativas na decisao do consumidor provenientes da diminuicao do poder aquisitivo causado pela inflacao,ALDO LEONARDO CUNHA CALLADO,MARCIA REIS MACHADO
caracterizacao  de um sistema de climatizacao dessecante solar com uso de resfriamento evaporativo em trocador de calor rotativo.,RAIMUNDO APRIGIO DE MENEZES JUNIOR,GILBERTO AUGUSTO AMADO MOREIRA
"fitossociologia, composicao floristica e disponibilidade de forragem de areas de caatinga do cariri paraibano",ALINE MENDES RIBEIRO,DIVAN SOARES DA SILVA
dominancia fiscal e politica monetaria: analise de impactos sobre a politica economica brasileira entre 1999 e 2015,EDILEAN KLEBER DA SILVA BEJARANO ARAGON,PAULO AGUIAR DO MONTE
avaliacao da atividade antimicrobiana de extratos de curcuma obtidos a partir de rizomas secos de curcuma longa l. produzidos no estado da paraiba,MARCIANE MAGNANI,FERNANDA VANESSA GOMES DA SILVA
erosao em bacias hidrograficas semiaridas sedimento de fundo e suspenso - tendencias hidrologicas em conexao com mudanca climatica e modelagem para conservacao dos solos agricolas,BRUNO DE OLIVEIRA DIAS,ALEXANDRE PAIVA DA SILVA
aprimoramento do banco de metabolitos secundarios para auxilio na bioprospeccao direcionados a estudos quimiotaxonomicos e de triagem virtual de estruturas com potencial atividade antiprotozoaria,PETRONIO FILGUEIRAS DE ATHAYDE FILHO,MARIO LUIZ ARAUJO DE ALMEIDA VASCONCELLOS
hidrologia de bacias experimentais,TARCISO CABRAL DA SILVA,HAMILCAR JOSE ALMEIDA FILGUEIRA
avaliacao da vulnerabilidade a erosao na zona costeira sul do estado da paraiba,HAMILCAR JOSE ALMEIDA FILGUEIRA,ADRIANO ROLIM DA PAZ
prevalencia e fatores associados a enteroparasitoses em escolares,LUCIO ROBERTO CANCADO CASTELLANO,MARILIA GABRIELA DOS SANTOS CAVALCANTI
abordagem de aprendizagem no ensino superior em contabilidade,LUIZ FELIPE DE ARAUJO PONTES GIRAO,WENNER GLAUCIO LOPES LUCENA
"periferizacao e dinamica das bordas intraurbanas, na cidade de joao pessoa, paraiba, brasil.",MARIA BERTHILDE DE BARROS LIMA E MOURA FILHA,IVAN CAVALCANTI FILHO
investigacao fitoquimica de especies vegetais com ocorrencia  no nordeste brasileiro,JOSE MARIA BARBOSA FILHO,JOSEAN FECHINE TAVARES
"etapa 3 - cancao popular brasileira, autoria e autonomia no contexto do atlantico negro",MARCELA ZAMBONI LUCENA,SIMONE MAGALHAES BRITO
"balanco comparativo da producao da ufpb campus i sobre a cidade de joao pessoa, pb, 1992-2012 [acrescido o periodo para 2016]",MARIA PATRICIA LOPES GOLDFARB,EDNALVA MACIEL NEVES
whistleblowing no brasil: uma investigacao com profissionais contabeis.,JOSE JASSUIPE DA SILVA MORAIS,ALDO LEONARDO CUNHA CALLADO
arte rupestre e agencias semioticas: as semioses encontradas nos paineis de arte rupestre.,THIERRY MARCELINO PASSERAT DE SILANS,LEOPOLDO OSWALDO ALCAZAR ROJAS
"dinamica do carbono e efluxo de co2 em diferentes posicoes de encostas sob pastagem perene, pastejada por bovinos",FLAVIO PEREIRA DE OLIVEIRA,ALEXANDRE PAIVA DA SILVA
avaliacao da eficiencia sob condicoes de risco e incerteza na otimizacao de investimentos,LUIZ MOREIRA COELHO JUNIOR,MARIA DE LOURDES BARRETO GOMES
controle de formacao de sistemas multi-robos com rastreamento ativo de alvo para monitoramento de ambientes,IGUATEMI EDUARDO DA FONSECA,CLAUIRTON DE ALBUQUERQUE SIEBRA
atividade antimicrobiana do oleo essencial de roma (punica granatum),ANGELA MARIA TRIBUZY DE MAGALHAES CORDEIRO,NOADIA PRISCILA ARAUJO RODRIGUES
relacao entre o uso do aplicativo tinder e o comportamento sexual de risco,ANA ALAYDE WERBA SALDANHA PICHELLI,VALDINEY VELOSO GOUVEIA
producao e qualidade de cultivares de feijao comum em resposta a adubacao e inoculacao com rizobio,LOURIVAL FERREIRA CAVALCANTE,NAYSA FLAVIA FERREIRA DO NASCIMENTO
novas fronteiras para pesquisa em redes de comunicacao,ED PORTO BEZERRA,CLAUIRTON DE ALBUQUERQUE SIEBRA
"analise de conteudo de letras de musicas de rock, funk, musica religiosa e pop music",CLEONICE PEREIRA DOS SANTOS CAMINO,VALDINEY VELOSO GOUVEIA
dinamica espaco-temporal e cenarios futuros para a desertificacao no alto curso do rio paraiba - pb,DORALICE SATYRO MAIA,EDUARDO RODRIGUES VIANA DE LIMA
"avaliacao dos efeitos centrais do 2-nitrato-1,3-dibutoxipropano (ndbp) sobre sensibilidade do barorreflexo de ratos hipertensos",DANIELA PRISCILA MARCHI SALVADOR,REINALDO NOBREGA DE ALMEIDA
potencial nutricional e antioxidante de diferentes variedades de quinoa (chenopodium quinoa willd.),GRACIELE DA SILVA CAMPELO BORGES,JULIANA ESCARIAO DA NOBREGA
camponeses em marcha e em processo de (re)criacao construcao da soberania e da seguranca alimentar em comunidades tradicionais  e em assentamentos rurais,DORALICE SATYRO MAIA,PEDRO COSTA GUEDES VIANNA
contribuicoes para a recuperacao dos rios gramame e paraiba,DANIEL OLIVEIRA MESQUITA,FREDERICO GUSTAVO RODRIGUES FRANCA
obesidade materna e o desenvolvimento de hipertensao arterial na prole de ratos: estudo dos mecanismos fisiologicos e moleculares,FLAVIA EMILIA LEITE DE LIMA FERREIRA,JAILANE DE SOUZA AQUINO
"a influencia de variaveis socioeconomicas, sociossanitarias e educacionais nos indicadores de saude da populacao brasileira",ANDRESSA FEITOSA BEZERRA DE OLIVEIRA,FABIO CORREIA SAMPAIO
percepcoes e expectativas de graduandos de psicologia acerca do trabalho do psicologo no ambito da educacao: um estudo de levantamento,MIRIANE DA SILVA SANTOS BARBOZA,HENRIQUE JORGE SIMOES BEZERRA
a integracao ensino servico e comunidade no curso de odontologia da ufpb: estudo de caso,MARIA SORAYA PEREIRA FRANCO ADRIANO,TALITHA RODRIGUES RIBEIRO FERNANDES PESSOA
derivados isoamilicos e atividade biologica,LEONIA MARIA BATISTA,JOSEAN FECHINE TAVARES
aplicacao da logica fuzzy no estabelecimento de indicadores de vulnerabilidade a seca na regiao semiarida brasileira,TARCISO CABRAL DA SILVA,ADRIANO ROLIM DA PAZ
estereotipos sociais e mulher usuaria de drogas: construcao e validacao de um instrumento de medida,CLEONICE PEREIRA DOS SANTOS CAMINO,ANA ALAYDE WERBA SALDANHA PICHELLI
obtencao de estruturas tipo cermet a serem utilizados na producao de materiais absorvedores seletivos,SANDRO MARDEN TORRES,RAMON ALVES TORQUATO
"estudo da extracao, caracterizacao e efeito do extrato de hibiscus sabdariffa na criopreservacao de espermatozoides animais",KRISTERSON REINALDO DE LUNA FREIRE,ENEAS RICARDO DE MORAIS GOMES
conhecendo os discursos dos cuidadores direcionados as criancas sobre  a tematica da morte,CLEIDE PEREIRA MONTEIRO,ZAETH AGUIAR DO NASCIMENTO
ligas a base cobre passiveis do efeito memoria de forma,JOSE FELIX DA SILVA NETO,FRANCISCO ANTONIO BELO
bionanocompositos de poli(butileno tereftalato) (pbt) com cargas especiais:           dioxido de titanio (tio2) e oxido de zinco (zno),POLLYANA CAETANO RIBEIRO FERNANDES,HEBER SIVINI FERREIRA
identificacao dos efeitos das mudancas climaticas em comunidades rurais do semiarido da paraiba - variacoes ambientais e culturais para o seculo xxi,COSME RAFAEL MARTINEZ SALINAS,ZELMA GLEBYA MACIEL QUIRINO
fitorremediacao de cadmio: analises de crescimento e desenvolvimento in vitro e histologia,EDSON LUIZ FOLADOR,VALDIR DE ANDRADE BRAGA
utilizacao do planejamento experimental para o estudo da influencia de variaveis do processo de colagem nas propriedades tecnologicas de produtos da ceramica branca,ITAMARA FARIAS LEITE,RICARDO PEIXOTO SUASSUNA DUTRA
"gastropoda terrestres da caatinga: um estudo realizado na rppn fazenda santa clara, sao joao do cariri, pb",ANA CAROLINA FIGUEIREDO LACERDA SAKAMOTO,MARCIO BERNARDINO DA SILVA
caracterizacao da perda de peso entre judocas jovens segundo diferentes sistemas de organizacao de competicao,IRAQUITAN DE OLIVEIRA CAMINHA,PIERRE NORMANDO GOMES-DA-SILVA
infograficos interativos no processo de visualizacao de dados,CLAUIRTON DE ALBUQUERQUE SIEBRA,ALISSON VASCONCELOS DE BRITO
metodos de agrupamento baseados em kernel,RONEI MARCOS DE MORAES,EUFRASIO DE ANDRADE LIMA NETO
protocolo de analgesia contnua com fentanil em ps-operatrio de cirurgia cardaca com esternotomia,SEVERINO AIRES DE ARAUJO NETO,MAURUS MARQUES DE ALMEIDA HOLANDA
analise e dimensionamento de estruturas assistidos por computador,GIVANILDO ALVES DE AZEREDO,ROBERTO LEAL PIMENTEL
narrativa encantadas da jurema sagrada,FERNANDA LEMOS,EUNICE SIMOES LINS GOMES
estruturacao de um modelo de referencia para o desenvolvimento enxuto de produtos alimenticios,MARIA CHRISTINE WERBA SALDANHA,MONICA CARVALHO
aplicacao pos-colheita de reguladores vegetais na qualidade e conservacao de melao,CAROLINA LIMA CAVALCANTI DE ALBUQUERQUE,INGRID CONCEICAO DANTAS GUERRA
valorizacao do patrimonio gastronomico da paraiba: resgate historico e avaliacao da qualidade da carne de sol processada conforme tradicao do municipio de picui - pb,CAROLINA LIMA CAVALCANTI DE ALBUQUERQUE,IRIS BRAZ DA SILVA ARAUJO
curvas de performance para indice de qualidade de cafe (iqc) baseado em medidas espectroanaliticas (plano 2),WALLACE DUARTE FRAGOSO,RICARDO ALEXANDRE CAVALCANTI DE LIMA
curvas de performance para indice de qualidade de cafe (iqc) baseado em medidas espectroanaliticas,ILDA ANTONIETA SALATA TOSCANO,MARCIA HELENA PONTIERI
desenvolvimento de nanocompositos de pla com nanowhiskers de celulose,KELLY CRISTIANE GOMES DA SILVA,DANIEL ARAUJO DE MACEDO
mobilidade integeracional educacional no brasil no periodo de 1981 a 2015,MARCIA BATISTA DA FONSECA,JEVUKS MATHEUS DE ARAUJO
mecanismos de acao anti-inflamatoria da ouabaina: aspectos funcionais da migracao celular,DANIELE IDALINO JANEBRO XIMENES,MARCIA REGINA PIUVEZAM
avaliacao craniometricas em populacoes do nordeste brasileiro por ressonancia magnetica: parametros diagnosticos da platibasia,GILKA PAIVA OLIVEIRA COSTA,CARLOS FERNANDO DE MELLO JUNIOR
cuidados paliativos em pediatria: um estudo com maes de criancas com cancer,ALTAMIRA PEREIRA DA SILVA REICHERT,KENYA DE LIMA SILVA
acoes da angiotensina-(1-7) na proliferacao de cardiomiocitos e regeneracao cardiaca,SILDIVANE VALCACIA SILVA,ANDREA FARIAS DE ALMEIDA
"liquidos ionicos baseados em biomoleculas: sintese, caracterizacao e aplicacao em biofilmes",CLAUDIO GABRIEL LIMA JUNIOR,PETRONIO FILGUEIRAS DE ATHAYDE FILHO
"atributos qumicos, estoque  e compartimentos da matria orgnica em neossolo regoltico sob sistemas agroflorestais no agreste paraibano",VANIA DA SILVA FRAGA,ADRIANA FERREIRA MARTINS
qualidade da carne de ovinos mesticos santa ines alimentados com silagem completa de palma (opuntia ficus),RICARDO ROMAO GUERRA,GEORGE RODRIGO BELTRAO DA CRUZ
estudo psicofisico e eletrofisiologico em pacientes esquizofrenicos,FLAVIO FREITAS BARBOSA,LIANA CLEBIA DE MORAIS PORDEUS
"biologia de spodoptera frugiperda (j.e. smith) (lepidoptera: noctuidae) alimentada com dietas artificiais a base de milho crioulo, convencional e transgenico",LUCIANA CORDEIRO DO NASCIMENTO,MARCOS BARROS DE MEDEIROS
cartografias da conflitualidade: 'subversivismo' e anarquismo na paraiba (1900-1930),LIZANDRA SERAFIM,LUCIANA APARECIDA ALIAGA ZARA DE OLIVEIRA
o perfil do educador de jovens e adultos no discurso de operarios-educandos da construcao civil,CHARLITON JOSE DOS SANTOS MACHADO,VIVIAN GALDINO DE ANDRADE
inducao de sindrome metabolica em camundongos por meio de uma dieta hiperlipidica palatavel,EDILSON PAES SARAIVA,VINICIUS JOSE BACCIN MARTINS
historiando a educacao profissional na paraiba: um estudo sobre o ensino de contabilidade,ALDO LEONARDO CUNHA CALLADO,ORLEANS SILVA MARTINS
sintese de diidrochalconas com potencial atividade biologica,MARCUS TULLIUS SCOTTI,JAILTON DE SOUZA FERRARI
"evolucao, ciencia e sociedade: teoria evolutiva, filogenia dos metazoa, e biodiversidade dos invertebrados nao-insetos da america do sul",FABIANA LOPES ROCHA,ANA CAROLINA FIGUEIREDO LACERDA SAKAMOTO
bioecologia da traca dos cereais  anagasta kuehniella (lepidoptera: pyralidae),CARLOS HENRIQUE DE BRITO,MARCOS BARROS DE MEDEIROS
hundertwasser e merleau-ponty: construindo uma arquitetonica da interpele para se pensar a educacao fisica,JOSE CAZUZA DE FARIAS JUNIOR,LUCIANO MEIRELES DE PONTES
"a contribuicao da papiloscopia, queiloscopia e rugoscopia para odontologia forense",HELOISA HELENA PINHO VELOSO,FABIO CORREIA SAMPAIO
casuistica das pericias de estimativa de idade,ANDRESSA FEITOSA BEZERRA DE OLIVEIRA,MARIA GERMANA GALVAO CORREIA LIMA
"deslocamento vertical de p em neossolo regolitico adubado com esterco bovino, e avaliacao da capacidade maxima de adsorcao do p em funcao dos teores de ferro e aluminio",BRUNO DE OLIVEIRA DIAS,FABRICIO LOPES DE MACEDO
os ciganos no estado da paraiba,MAURO GUILHERME PINHEIRO KOURY,EDNALVA MACIEL NEVES
"representacoes, preconceito e obesidade: um estudo com adolescentes",MARIA DE FATIMA PEREIRA ALBERTO,CARMEN WALENTINA AMORIM GAUDENCIO BEZERRA
"arquitetura residencial em joao pessoa: historia, forma e modo de morar (re)apropriados atraves de recursos digitais",JOSE AUGUSTO RIBEIRO DA SILVEIRA,IVAN CAVALCANTI FILHO
acude epitacio pessoa: analise do aporte da precipitacao pluviometrica e volume armazenado,JONAS OTAVIANO PRACA DE SOUZA,RICHARDE MARQUES DA SILVA
producao e trabalho na agricultura familiar do nordeste brasileiro: um recorte estadual,MARCIA BATISTA DA FONSECA,MARCIA CRISTINA SILVA PAIXAO
processamento e caracterizacao eletrica dos componentes das celulas a combustivel de oxido solido (sofc).,POLLYANA CAETANO RIBEIRO FERNANDES,SANDRO MARDEN TORRES
atividade antimicrobiana de clorexidina microencapsulada sobre microrganismos da cavidade bucal e orofaringe,FABIO LUIZ CUNHA DASSUNCAO,LUCIANE QUEIROZ MOTA DE LIMA
escritos de sujeitos no nordeste: um relatorio sobre a instrucao publica no ceara e nos estados unidos da america,FERNANDO CEZAR BEZERRA DE ANDRADE,CHARLITON JOSE DOS SANTOS MACHADO
robotica assistiva para pessoas idosas,TIAGO PEREIRA DO NASCIMENTO,LILIANE DOS SANTOS MACHADO
"producao, estado nutricional e qualidade dos frutos de noni sob diferentes manejos",REJANE MARIA NUNES MENDONCA,WALTER ESFRAIN PEREIRA
protocolos de autoavaliacao em voz: nova perspectiva com base na teoria de resposta ao item,ISABELLE CAHINO DELGADO,WAGNER TEOBALDO LOPES DE ANDRADE
discriminacao de genero e docencia universitaria,SILVANA CARNEIRO MACIEL,MARIA DE FATIMA PEREIRA ALBERTO
"sintese e caracterizacao de 1,3,4 oxadiazois-2,5-dissubstituidos com potencial atividade  anti-inflamatoria e anticancer",NEIDE QUEIROZ,MARIO LUIZ ARAUJO DE ALMEIDA VASCONCELLOS
"ajuste da polaridade da r2n-c6h4-no (r = h, ch3) via otimizacao restrita de geometria",WAGNER DE MENDONCA FAUSTINO,ELIZETE VENTURA DO MONTE
avaliacao das queixas e complicacoes relacionadas ao uso de dispositivos intrauterinos: coorte com mulheres em atendimento no ambulatorio de planejamento familiar de um hospital universitario,ANDRE TELIS DE VILELA ARAUJO,CARLOS FERNANDO DE MELLO JUNIOR
aplicacao de compostos de ions lantanideos atuando como catalisadores em reacoes organicas,CLAUDIO GABRIEL LIMA JUNIOR,ANTONIA LUCIA DE SOUZA
"beneficiamento por hidrociclonagem e secagem por spray dryer de variedades pouco nobres de bentonitas de boa vista-pb, visando melhoria de suas propriedades reologicas",LISZANDRA FERNANDA ARAUJO CAMPOS,RICARDO PEIXOTO SUASSUNA DUTRA
politicas de acesso e permanencia a educacao superior: os impactos do sisu e das politicas de cotas no contexto de inclusao na universidade federal da paraiba,ANA DORZIAT BARBOSA DE MELO,EDUARDO ANTONIO DE PONTES COSTA
influencia da clorexidina 2% como veiculo para o hidroxido de calcio na variacao do ph da superficie radicular em reabsorcoes externas simuladas,AMANDA MARIA MEDEIROS DE ARAUJO LUCK,ELIANE BATISTA DE MEDEIROS SERPA
custos ambientais e o indice de sustentabilidade empresarial (ise),LUIZ FELIPE DE ARAUJO PONTES GIRAO,ROSSANA GUERRA DE SOUSA
o cuidar ao idoso assistido na atencao primaria: uma abordagem bioetica,MARIA JULIA GUIMARAES OLIVEIRA SOARES,WILMA DIAS DE FONTES PEREIRA
conversao de biomassa em bioquerosene de aviacao,FABIOLA DIAS DA SILVA CURBELO,RENNIO FELIX DE SENA
efeito de nanocontaminantes emergentes em  gametas e celulas embrionarias de ouricos-do-mar,CARLOS XAVIER DE AZEVEDO NETTO,NEIR ANTUNES PAES
"resiliencia, capacidade funcional e autocuidado com o diabetes mellitus em pessoas idosas hospitalizadas",PEDRO JOSE SANTOS CARNEIRO CRUZ,JULIANA SAMPAIO
"relacoes energia e proteina da dieta, metabolismo energetico e ingestao de energia em codornas europeias alojadas em ambiente quente",JULIANA SILVA DE OLIVEIRA,FERNANDO GUILHERME PERAZZO COSTA
