Projeto:,Avaliador 1:,Avaliador 2:
atividade antimicrobiana de extratos vegetais e efeitos pos-antimicrobianos e geneticos sobre plasmidios de resistencia a antibioticos em microrganismos,KRYSTYNA GORLACH LIRA,EDELTRUDES DE OLIVEIRA LIMA
determinacao de metabolitos bioativos a partir de cepas de streptomyces spp.,KRYSTYNA GORLACH LIRA,EDELTRUDES DE OLIVEIRA LIMA
inteligencia artificial e informatica em saude,LEONARDO VIDAL BATISTA,DANIELLE ROUSY DIAS DA SILVA
estudo da atividade antifungica do oleo essencial de melissa officinalis e fitoconstituintes sobre fungos demaceos,KRYSTYNA GORLACH LIRA,THOMPSON LOPES DE OLIVEIRA
"avaliacao do perfil parasitologico em gestantes de alto risco atendidas no hospital universitario lauro wanderley, joao pessoa/pb",CALIANDRA MARIA BEZERRA LUNA LIMA,CRISTINE HIRSCH MONTEIRO
prevalencia de enteroparasitoses em pacientes atendidos no hospital universitario lauro wanderley,MARILIA GABRIELA DOS SANTOS CAVALCANTI,CRISTINE HIRSCH MONTEIRO
"perfil parasitologico dos pacientes pediatricos no hospital universitario lauro wanderley, joao pessoa/pb",MARILIA GABRIELA DOS SANTOS CAVALCANTI,CALIANDRA MARIA BEZERRA LUNA LIMA
perfil parasitologico de criancas matriculadas em uma escola de educacao infantil publica no municipio de joao pessoa/pb,MARILIA GABRIELA DOS SANTOS CAVALCANTI,CALIANDRA MARIA BEZERRA LUNA LIMA
"correlacao das condicoes climaticas e ambientais no desenvolvimento do schistosoma mansoni em caramujos do genero biomphalaria no rio do cuia, joao pessoa, pb/brasil",CRISTINE HIRSCH MONTEIRO,NEIR ANTUNES PAES
reologia e ensaios ultrasonicos para sondar e mensurar a pega do concreto fresco e de misturas correlatas,HEBER PIMENTEL GOMES,JOACIO DE ARAUJO MORAIS JUNIOR
utilizacao de tecnicas de computacao em paralelo em placas de video para otimizacao e confiabilidade estrutural,ROBERTO LEAL PIMENTEL,ANGELO VIEIRA MENDONCA
avaliacao de capacidade resistente de lajes de concreto mediante testes de vibracao e modelagem computacional,ANDRE JACOMEL TORII,ANGELO VIEIRA MENDONCA
analise de vibracoes induzidas por pedestres em passarelas,ANDRE JACOMEL TORII,ANGELO VIEIRA MENDONCA
monitoramento inteligente e pervasivo da saude humana,AYLA DEBORA DANTAS DE SOUZA REBOUCAS,LEONARDO VIDAL BATISTA
modelagem numerica da interface macico rochoso/revestimento em pocos de petroleo utilizando o metodo dos elementos finitos,ROBERTO LEAL PIMENTEL,ANGELO VIEIRA MENDONCA
analise de estruturas assistidos por computador,ANDRE JACOMEL TORII,ROBERTO LEAL PIMENTEL
uso de materiais convencionais em pavimentacao,ANDRE JACOMEL TORII,HEBER PIMENTEL GOMES
automacao e controle em sistemas de distribuicao de agua,ROBERTO LEAL PIMENTEL,CELSO AUGUSTO GUIMARAES SANTOS
otimizacao energetica de sistemas de abastecimento de agua,RICARDO ALMEIDA DE MELO,CELSO AUGUSTO GUIMARAES SANTOS
aplicacoes de quasicristais na industria de petroleo,KELLY CRISTIANE GOMES DA SILVA,SEVERINO JACKSON GUEDES DE LIMA
estudos dos semicondutores magneticos diluidos para aplicacao na spintronica,AMELIA SEVERINO FERREIRA E SANTOS,MAX ROCHA QUIRINO
desenvolvimento de micro e nanofibras de polimeros pela tecnica de fiacao a partir da solucao (solution blow spinning),ITAMARA FARIAS LEITE,FLAVIA DE MEDEIROS AQUINO
estudo preliminar da porosidade de corpos ceramicos visando aplicacao em membranas ceramicas de baixo custo,RICARDO PEIXOTO SUASSUNA DUTRA,HEBER SIVINI FERREIRA
encapsulamento de principios ativos em matrizes polimericas,LISZANDRA FERNANDA ARAUJO CAMPOS,DEBORA ALBUQUERQUE VIEIRA
tecnicas de predicao de defeitos de software baseadas em aprendizagem de maquina,AYLA DEBORA DANTAS DE SOUZA REBOUCAS,DANIELLE ROUSY DIAS DA SILVA
desenvolvimento de madeira plastica a partir da mistura de residuos plasticos com residuos lignocelulosicos regionais,JULIANO ELVIS OLIVEIRA,JOSE FELIX DA SILVA NETO
embalagens ativas e nanosseguranca,RAMON ALVES TORQUATO,HEBER SIVINI FERREIRA
obtencao de grafeno a partir da grafite para o uso como carga na sintese de nanocompositos polimericos,LISZANDRA FERNANDA ARAUJO CAMPOS,FLAVIA DE MEDEIROS AQUINO
utilizacao da hidrociclonagem e da secagem por atomizacao no beneficiamento de materias-primas ceramicas,AMELIA SEVERINO FERREIRA E SANTOS,ITAMARA FARIAS LEITE
"influencia da composicao quimica, mineralogica e variaveis do processo na cor de produtos ceramicos de base argilosa",RAMON ALVES TORQUATO,ITAMARA FARIAS LEITE
geracao de energia eletrica utilizando material piezoeletrico,EULER CASSIO TAVARES DE MACEDO,ANTONIO AUGUSTO LISBOA DE SOUZA
aplicacao de sensores nanocristalinos e redes de sensores sem fio no monitoramento de equipamentos de potencia por descargas parciais,CLEONILSON PROTASIO DE SOUZA,LUCAS VINICIUS HARTMANN
aplicacao com sensores piezoeletricos,CLEONILSON PROTASIO DE SOUZA,LUCAS VINICIUS HARTMANN
circuitos de colheita de energia para nos sensores,RUY ALBERTO PISANI ALTAFIM,LUCAS VINICIUS HARTMANN
sistema de geracao eolica baseado no gerador de inducao de rotor bobinado alimentado por tensoes desequilibradas,ISAAC SOARES DE FREITAS,ROMERO LEANDRO ANDERSEN
educservice: proposta e avaliao de aplicativos e servios de suporte ao  processo de ensino-aprendizagem,LEONARDO VIDAL BATISTA,DANIELLE ROUSY DIAS DA SILVA
analises e acionamento de maquinas eletricas polifasicas,NADY ROCHA,ROMERO LEANDRO ANDERSEN
projeto de um carro eletrico com tempo de autonomia razoavel. estudo e simulacao,FABIANO SALVADORI,DARLAN ALEXANDRIA FERNANDES
micro geracao distribuida em redes inteligentes (smart grid): estudo e desenvolvimento de ferramentas para gerenciamento do fluxo de potencia,ALBERTO SOTO LOCK,DARLAN ALEXANDRIA FERNANDES
regulacao de tensao em sistemas fotovoltaicos,NADY ROCHA,FABIANO SALVADORI
aplicacao de metodos hibridos em fenomenos de transporte,GILBERTO AUGUSTO AMADO MOREIRA,ANTONIO PRALON FERREIRA LEITE
dinamica dos fluidos computacional aplicada,GILBERTO AUGUSTO AMADO MOREIRA,ANTONIO PRALON FERREIRA LEITE
desenvolvimento de modelo de camada limite atmosferica,JOAO ALVES DE LIMA,ANTONIO PRALON FERREIRA LEITE
a busca da eco-eficiencia com o apoio da analise de ciclo de vida,ZAQUEU ERNESTO DA SILVA,EMERSON FREITAS JAGUARIBE
"avaliacao teorica experimental de uma unidade de cogeracao de alto desempenho  de 100kva usando gas natural e um sistema de absorcao de 5tr, com o par, agua - amonia.",GILBERTO AUGUSTO AMADO MOREIRA,JOSE MAURICIO ALVES DE MATOS GURGEL
analisadores eletronicos pela polarizacao dipolar para laboratorios e processos,NADY ROCHA,ALBERTO SOTO LOCK
pesquisa e desenvolvimento de um sistema de auxilio ao diagnostico medico baseado em mamografia - siad,NATASHA CORREIA QUEIROZ LINO,CLAUIRTON DE ALBUQUERQUE SIEBRA
desenvolvimento de sistema hibrido de climatizacao solar  adsortivo e fotovoltaico,MONICA CARVALHO,CARLOS ANTONIO CABRAL DOS SANTOS
"rede de sensores sem fio com processamento embarcado para determinacao do torque dinamico, eficiencia e diagnostico de falhas em motores de inducao em ambiente industrial",SIMPLICIO ARNAUD DA SILVA,RAIMUNDO APRIGIO DE MENEZES JUNIOR
ligas com memoris de forma destinadas a atuadores,JOAO ALVES DE LIMA,JOSE FELIX DA SILVA NETO
ligas a base cobre passiveis do efeito memoria de forma,ABEL CAVALCANTE LIMA FILHO,JOSE FELIX DA SILVA NETO
"producao de nanotubos de oxido de ferro, (catalisadores e adsorventes) e avaliacao de suas propriedades adsortivas",MERCIA MELO DE ALMEIDA MOTA,JOSILENE DE ASSIS CAVALCANTE
desenvolvimento de processo biotecnologico para a producao de carotenoides utilizando a manipueira como substrato,VIVIAN STUMPF MADEIRA,MERCIA MELO DE ALMEIDA MOTA
producao de etanol neutro a partir dos residuos (cabeca e cauda) do processamento da aguardente de abacaxi,FLAVIO LUIZ HONORATO DA SILVA,JOSILENE DE ASSIS CAVALCANTE
modelo de adsorvedor para o controle do ponto de orvalho de gas umido,SILVIA LAYARA FLORIANI ANDERSEN,JOSILENE DE ASSIS CAVALCANTE
avaliacao do potencial da cana energia para producao de energia renovavel,FABIOLA DIAS DA SILVA CURBELO,RENNIO FELIX DE SENA
obtencao de bioquerosene de aviacao drop in,FABIOLA DIAS DA SILVA CURBELO,RENNIO FELIX DE SENA
projeto biopass - pesquisa e desenvolvimento de um sistema multifator e multibiometrico de identificacao e autenticacao de usuarios,NATASHA CORREIA QUEIROZ LINO,CLAUIRTON DE ALBUQUERQUE SIEBRA
efeito do sinergismo na adsorcao de misturas de tensoativos em arenitos,NATALY ALBUQUERQUE DOS SANTOS,RAUL ROSENHAIM
determinacao de sistemas microemulsionados para serem utilizados na recuperacao de petroleo avaliando suas eficiencias de varrido e deslocamento,RENNIO FELIX DE SENA,RAUL ROSENHAIM
remocao de poluentes de aguas e efluentes utilizando coagulacao quimica e processos de oxidacao avancada,NATALY ALBUQUERQUE DOS SANTOS,FABIOLA DIAS DA SILVA CURBELO
bioconversao dos pre-hidrolisados dos residuos das vargens de algaroba e bagaco do pedunculo do caju para producao de xilitol e etanol,SILVIA LAYARA FLORIANI ANDERSEN,GENARO ZENAIDE CLERICUZI
desinfeccao de aguas e efluentes utilizando processos de oxidacao avancada.,SILVIA LAYARA FLORIANI ANDERSEN,GENARO ZENAIDE CLERICUZI
mapeamento e classificacao da estrutura do rio jaguaribe /pb baseado em indices hidromorfologicos e de qualidade da agua,CRISTIANO DAS NEVES ALMEIDA,RICARDO DE ARAGAO
hidrologia de base em bacias experimental e representativa no semiarido: beer,TARCISO CABRAL DA SILVA,RICARDO DE ARAGAO
utilizacao da ferramenta analise de sustentabilidade de analise de ciclo de vida (ascv) para a avaliacao do programa de coleta seletiva na cidade de joao pessoa/pb - brasil.,CRISTIANO DAS NEVES ALMEIDA,GILSON BARBOSA ATHAYDE JUNIOR
tratamento e analise de indicadores de saneamento do snis,TARCISO CABRAL DA SILVA,CLAUDIA COUTINHO NOBREGA
abordagens inovadoras em sistemas de drenagem urbana,CARMEM LUCIA MOREIRA GADELHA,ELISANGELA MARIA RODRIGUES ROCHA
desenvolvimento de um ambiente para simulacao distribuida de sistemas embarcados complexos e heterogeneos,LILIANE DOS SANTOS MACHADO,ED PORTO BEZERRA
analise da vazao de diluicao de efluentes industriais em corpos hidricos: o caso do riacho mussure na bacia hidrografica do rio gramame - joao pessoa/pb,ADRIANO ROLIM DA PAZ,ELISANGELA MARIA RODRIGUES ROCHA
desenvolvimento de um modelo de referencia para a implantacao da producao enxuta em operacoes de servicos,MARIA SILENE ALEXANDRE LEITE,RICARDO MOREIRA DA SILVA
analise do impacto do modelo de excelencia da gestao (meg) em empresas paraibanas.,MARIA SILENE ALEXANDRE LEITE,RICARDO MOREIRA DA SILVA
validacao de um sistema de medicao de desempenho (smd) para cadeias de suprimentos imediatas no estado da paraiba.,LUCIANO COSTA SANTOS,MARIA DE LOURDES BARRETO GOMES
analise de custos e eficiencia de celulas fotovoltaicas,MARIA DE LOURDES BARRETO GOMES,CLAUDIA FABIANA GOHR
relacionamentos interorganizacionais como fonte de vantagem competitiva em arranjos empresariais do estado da paraiba,LUCIANO COSTA SANTOS,MARIA DE LOURDES BARRETO GOMES
algoritmos eficientes para resolucao de problemas de otimizacao nas areas de gestao da producao e logistica,LUIZ BUENO DA SILVA,LUIZ MOREIRA COELHO JUNIOR
"mudancas climaticas e a elevacao da temperatura: implicacoes no conforto, na saude e no desempenho de alunos em ambientes de ensino inteligentes (news ict) em areas das regioes brasileiras",MARIA DE LOURDES BARRETO GOMES,FABIO MORAIS BORGES
analise da concentracao energetica nas industrias brasileiras,LUCIANO COSTA SANTOS,MARIA SILENE ALEXANDRE LEITE
identificacao das abordagens de custos logisticos no setor portuario,LUCIANO COSTA SANTOS,LUIZ MOREIRA COELHO JUNIOR
uma estrategia de traducao automatica de textos em lingua portuguesa para glosa em lingua brasileira de sinais,ALEXANDRE NOBREGA DUARTE,ED PORTO BEZERRA
modelagem matematica e computacional  da competencia mecanica do osso trabecular,ANA LUIZA MATTOS BRAGA,TADEU ANTONIO DE AZEVEDO MELO
relacao entre o consumo alimentar de vitamina d e seu nivel serico com o diabetes gestacional em mulheres atendidas no hospital universitario lauro wanderley (hulw/ufpb),EUTILIA ANDRADE MEDEIROS FREIRE,FATIMA MARIA MACEDO DOS SANTOS
desenvolvimento e validacao de medida de exposicao solar e fotoprotecao especifica para pacientes portadores de lupus eritematoso sistemico (les),FATIMA MARIA MACEDO DOS SANTOS,JOSE EYMARD MORAES DE MEDEIROS FILHO
infeccoes nosocomiais causadas por klebsiella pneumoniae em pacientes internados em um hospital universitario,MAURUS MARQUES DE ALMEIDA HOLANDA,JADER FREIRE SOBRAL FILHO
analise da prevalencia de cistos tonsilares em portadores de malformacoes craniocervicaissubmetidos a tratamento cirurgico nos ultimos 21 anos no municipio de joao pessoa,JULIANA SOUSA SOARES DE ARAUJO,MONICA SOUZA DE MIRANDA HENRIQUES
"itinerarios terapeuticos da pessoa com sindrome de fibromialgia no sistema de saude de joao pessoa, paraiba",JULIANA SOUSA SOARES DE ARAUJO,JOSE EYMARD MORAES DE MEDEIROS FILHO
prevalencia de discromias cutaneas em ambulatorios de dermatologia e sua influencia sobre a qualidade de vida,EUTILIA ANDRADE MEDEIROS FREIRE,CRISTIANNE DA SILVA ALEXANDRE
traducao e validacao do questionario ankylosing spondylitis qualityof life (asqol) sobre qualidade de vida na espondilite anquilosante,RILVA LOPES DE SOUSA MUNOZ,ESTHER BASTOS PALITOT
perfil epidemiologico dos adenocarcinomas gastricos operados em um centro de referencia estadual,ROSALIA GOUVEIA FILIZOLA,HAROLDO DE LUCENA BEZERRA
aspectos clinicos e epidemiologicos da doenca trofoblastica gestacional no centro de referencia em doenca trofoblastica gestacional do hospital universitario lauro wanderley,EDUARDO SERGIO SOARES SOUSA,GILKA PAIVA OLIVEIRA COSTA
acessibilidade na ead: objetos de aprendizagem baseados em interpretes virtuais para o ensino de libras,ALEXANDRE NOBREGA DUARTE,ED PORTO BEZERRA
avaliacao da confiabilidade da dosagem serica de beta-hcg em mulheres com doenca trofoblastica gestacional,CLAUDIO SERGIO MEDEIROS PAIVA,GILKA PAIVA OLIVEIRA COSTA
colonizacao de candida em pacientes pediatricos com leucemias linfociticas agudas sob quimioterapia e susceptibilidade de especies encontradas a agentes antifungicos,BIANCA MARQUES SANTIAGO,DAYANE FRANCO BARROS MANGUEIRA LEITE
efeito da imersao em diferentes solucoes corantes na estabilidade de cor de dentes artificiais de resina acrilica,MARIA SUELI MARQUES SOARES,LUCIANE QUEIROZ MOTA DE LIMA
estudo e caracterizacao das estruturas dos sistemas biologicos,PAULO ROGERIO FERRETI BONAN,ANDRE ULISSES DANTAS BATISTA
caracterizacao e desenvolvimento de materiais aplicados a biossistemas,MARIA SUELI MARQUES SOARES,LUCIANE QUEIROZ MOTA DE LIMA
avaliacao de pacientes com sindrome do ardor bucal (sab),ANDRE ULISSES DANTAS BATISTA,LUCIANE QUEIROZ MOTA DE LIMA
biomateriais e agentes terapeuticos associados a erosao dentaria,ANA MARIA GONDIM VALENCA,ELIANE BATISTA DE MEDEIROS SERPA
analise da relacao entre as condicoes de saude bucal e o tratamento quimioterapico em pacientes pediatricos oncologicos assistidos em um hospital de referencia na cidade de joao pessoa/pb,FABIOLA GALBIATTI DE CARVALHO CARLO,ELIANE BATISTA DE MEDEIROS SERPA
perfil epidemiologico da periodontite apical cronica em mulheres na menopausa no municipio de joao pessoa-pb,BIANCA MARQUES SANTIAGO,EDNARA MERCIA FERNANDES DE ANDRADE
"aplicabilidade do metodo de nicodemo, moraes e medici filho na estimativa de idade realizada por graduandos de odontologia da ufpb a partir de radiografias panoramicas",PAULO ROGERIO FERRETI BONAN,DAYANE FRANCO BARROS MANGUEIRA LEITE
corpus oral fonoaudiologico de desvios foneticos e fonologicos - cofdeff,ANNA ALICE FIGUEIREDO DE ALMEIDA,LEONARDO WANDERLEY LOPES
desenvolvimento do software sadea,TIAGO MARITAN UGULINO DE ARAUJO,IGUATEMI EDUARDO DA FONSECA
analise do potencial erosivo de diferentes bebidas acidas no tecido dentinario: um estudo in vitro,PATRICIA MOREIRA RABELLO,WILTON WILNEY NASCIMENTO PADILHA
analise odontometricas dos molares na determinacao do sexo,ANDRESSA FEITOSA BEZERRA DE OLIVEIRA,FABIO CORREIA SAMPAIO
concentracao de fluor em creme dentais comercializados no estado da paraiba,ROBERTA MOREIRA FRANCA,WILTON WILNEY NASCIMENTO PADILHA
"estudo longitudinal da carie dentaria, ma oclusao e padrao facial em escolares de 5 e 12 anos de joao pessoa ? paraiba",ROBERTA MOREIRA FRANCA,ANDREA GADELHA RIBEIRO TARGINO
avaliacao do desempenho dos alunos de graduacao na area de saude da ufpb no estagio regional interprofissional como promotores de saude publica,FABIO CORREIA SAMPAIO,WILTON WILNEY NASCIMENTO PADILHA
potencial fitoterapico do oleo essencial de schinus terebinthifolius raddi (aroeira da praia),PATRICIA MOREIRA RABELLO,FABIO CORREIA SAMPAIO
propriedades dos biomateriais,ROSANGELA MARQUES DUARTE,ANA KARINA MACIEL DE ANDRADE
incorporacao de nanoparticulas de quitosana em materiais para uso terapeutico e tratamento de doencas bucais,ROSANGELA MARQUES DUARTE,ANA KARINA MACIEL DE ANDRADE
"influencia da espessura do composito de baixa viscosidade do tipo bulk fill no grau de conversao, profundidade de polimerizacao e microdureza em diferentes condicoes de teste.",HUGO LEMES CARLO,ROBINSOM VIEGAS MONTENEGRO
caracterizacao e identificacao de especies medicinais ocorrentes no nordeste do brasil do genero brunfelsia l. (solanaceae) por espectroscopia de absorcao no infravermelho,VICENTE CARLOS DE OLIVEIRA COSTA,DAMIAO PERGENTINO DE SOUSA
ambientes virtuais 3d para educacao e treinamento em saude,ALISSON VASCONCELOS DE BRITO,TIAGO MARITAN UGULINO DE ARAUJO
estudo quimico biomonitorado de plantas medicinais da paraiba: ecossistema caatinga,MARCELO SOBRAL DA SILVA,JOSEAN FECHINE TAVARES
busca de bioativos em especies de krameria da flora brasileira,VICENTE CARLOS DE OLIVEIRA COSTA,JOSEAN FECHINE TAVARES
estudo fitoquimico com fins farmacologicos de waltheria viscosissima a.st. hil (malvaceae),MARCELO SOBRAL DA SILVA,DAMIAO PERGENTINO DE SOUSA
busca por compostos biologicamente ativos em especies de hyptis (lamiaceae) do semiarido paraibano,MARIA DE FATIMA VANDERLEI DE SOUZA,LEONIA MARIA BATISTA
estudo quimico de esponjas do litoral nordestino com potencial terapeutico e biotecnologico,VICENTE CARLOS DE OLIVEIRA COSTA,JOSEAN FECHINE TAVARES
busca de biometabolitos e avaliacao da atividade antioxidante em especies de celastraceae e fabaceae da flora paraibana,IONALDO JOSE LIMA DINIZ BASILIO,LEONIA MARIA BATISTA
estudo farmacoquimico da planta chondodendron platyphyllum a. st. hil (miers) menispermaceae,IONALDO JOSE LIMA DINIZ BASILIO,DAMIAO PERGENTINO DE SOUSA
amidas halogenadas: avaliacao antimicrobiana e relacao  estrutura-atividade,MARCELO SOBRAL DA SILVA,KRISTERSON REINALDO DE LUNA FREIRE
avaliacao toxicologica de plantas medicinais,CALIANDRA MARIA BEZERRA LUNA LIMA,IONALDO JOSE LIMA DINIZ BASILIO
conhecimento de estudantes do curso de enfermagem sobre prevencao e formas de tratamentos das ulceras por pressao,MARIA JULIA GUIMARAES OLIVEIRA SOARES,MARIA BERNADETE DE SOUSA COSTA
acoes para pesquisa em redes de comunicacao,ALEXANDRE NOBREGA DUARTE,TIAGO MARITAN UGULINO DE ARAUJO
"processo de cuidar em feridas: educacao em saude, medidas preventivas e novas tecnologias terapeuticas",IOLANDA BESERRA DA COSTA SANTOS,MARIA BERNADETE DE SOUSA COSTA
quedas e risco de lesoes em ambientes hospitalares,IOLANDA BESERRA DA COSTA SANTOS,MARIA ELIANE MOREIRA FREIRE
producao cientifica sobre cuidados paliativos e modalidades terapeuticas: um estudo bibliometrico no campo da enfermagem,IOLANDA BESERRA DA COSTA SANTOS,MARIA EMILIA LIMEIRA LOPES
vigilancia do desenvolvimento infantil: caminhos e perspectivas para a enfermagem,NEUSA COLLET,PATRICIA SERPA DE SOUZA BATISTA
interfaces entre atencao a saude do idoso e vulnerabilidade ao hiv/aids: um estudo de representacoes sociais,MARIA JULIA GUIMARAES OLIVEIRA SOARES,JORDANA DE ALMEIDA NOGUEIRA
envelhecimento e hiv/aids: diagnosticos de enfermagem segundo concepcoes de idosos sobre vulnerabilidades a infeccao,MARIA JULIA GUIMARAES OLIVEIRA SOARES,JORDANA DE ALMEIDA NOGUEIRA
tuberculose: analise dos pontos de estrangulamento da atencao para controle da doenca no municipio de joao pessoa-pb,MARIA JULIA GUIMARAES OLIVEIRA SOARES,GREICY KELLY GOUVEIA DIAS BITTENCOURT
"processo de cuidar em feridas hansenicas: educacao em saude, medidas preventivas e novas tecnologias terapeuticas.",GREICY KELLY GOUVEIA DIAS BITTENCOURT,JORDANA DE ALMEIDA NOGUEIRA
representacoes sociais da vulnerabilidade ao hiv/aids em idosos das unidades de estrategias de saude da familia,SIMONE HELENA DOS SANTOS OLIVEIRA,MARIA DJAIR DIAS
representacoes sociais sobre a violencia sexual e sua interface com o hiv/aids em mulheres privadas de liberdade,MARIA ADELAIDE SILVA PAREDES MOREIRA,MARIA DJAIR DIAS
dinamica nao-linear com lasers e circuitos eletronicos,HUGO LEONARDO DAVI DE SOUZA CAVALCANTE,RODRIGO RONELLI DUARTE DE ANDRADE
tiquinho de alegria: a palhacoterapia como estrategia de humanizacao da assistencia a crianca hospitalizada,EDUARDO SERGIO SOARES SOUSA,HAROLDO DE LUCENA BEZERRA
gestao de risco: conhecimentos e atitudes de profissionais de saude sobre adocao de medidas de biosseguranca,SOLANGE FATIMA GERALDO DA COSTA,FRANCILEIDE DE ARAUJO RODRIGUES
"doencas de evolucao cronica: prevencao, cuidado e  qualidade de vida",MARIA DJAIR DIAS,MARIA DAS GRACAS MELO FERNANDES
praticas de cuidado no sistema formal e informal de saude,MARIA DAS GRACAS MELO FERNANDES,KATIA NEYLA DE FREITAS MACEDO
processo de cuidar dos pacientes diabeticos cadastrados na atencao basica em joao pessoa,JORDANA DE ALMEIDA NOGUEIRA,VALERIA PEIXOTO BEZERRA
determinantes de envelhecimento ativo em idosos atendidos em um centro de atencao integral a saude,PATRICIA SERPA DE SOUZA BATISTA,VALERIA PEIXOTO BEZERRA
retardo do diagnostico da tuberculose em pessoas idosas: acoes do enfermeiro em municipios da regiao da grande joao pessoa - pb,MARTA MIRIAM LOPES COSTA CUNHA,LENILMA BENTO DE ARAUJO MENESES
analise dos pontos de estrangulamento no controle da tuberculose em populacoes em situacao de rua nos municipios de joao pessoa e campina grande-pb,MARIA DJAIR DIAS,MARIA DE LOURDES DE FARIAS PONTES
o cuidar ao idoso assistido na atencao primaria: uma abordagem bioetica,MARTA MIRIAM LOPES COSTA CUNHA,LENILDE DUARTE DE SA
"risco de quedas,  capacidade cognitiva e funcional de idosos assistidos em um centro de atencao integral",MARTA MIRIAM LOPES COSTA CUNHA,MARIA DAS GRACAS MELO FERNANDES
"extensoes de gauge do modelo padrao eletrofraco, supersimetria e a materia escura no universo",EUGENIO RAMOS BEZERRA DE MELO,DIONISIO BAZEIA FILHO
"prospeccao de compostos bioativos presentes em residuos de frutas tropicais: avaliacao de propriedade  hipolipemiante, antioxidante e prebiotica",FLAVIA EMILIA LEITE DE LIMA FERREIRA,MARIA LUCIA DA CONCEICAO
avaliacao do potencial probiotico de bacterias acido-lacticas isoladas de subprodutos do processamento de frutas cultivadas no nordeste brasileiro,ROBSON CAVALCANTE VERAS,SELMA DOS PASSOS BRAGA
potencial da aplicacao dos oleos essenciais de mentha piperita l. (hortela-pimenta) e mentha arvensis l. (hortela-doce) como conservantes naturais de sucos de frutas tropicais,ROBSON CAVALCANTE VERAS,SELMA DOS PASSOS BRAGA
qualidade da dieta e fatores de risco para o desenvolvimento de doencas cardiovasculares e metabolicas em adolescentes da rede publica de ensino em joao pessoa -paraiba: um estudo longitudinal,MARIA JOSE DE CARVALHO COSTA,MARIA DA CONCEICAO RODRIGUES GONCALVES
coorte de nascimento em joao pessoa,MARIA JOSE DE CARVALHO COSTA,MARIA DA CONCEICAO RODRIGUES GONCALVES
"primeiro diagnostico e intervencao da situacao alimentar, nutricional e de doencas nao transmissiveis mais prevalentes da populacao do municipio de joao pessoa/pb",RODRIGO PINHEIRO DE TOLEDO VIANNA,MARIA DA CONCEICAO RODRIGUES GONCALVES
avaliacao dos niveis sanguineos da 25-hidroxivitamina d em adolescentes de escolas publicas,RODRIGO PINHEIRO DE TOLEDO VIANNA,MARIA JOSE DE CARVALHO COSTA
implantacao e caracterizacao do diagnostico molecular da dengue em joao pessoa - paraiba,JANA LUIZA TOSCANO MENDES DE OLIVEIRA,JORIA VIANA GUERREIRO
"a condicao do idoso hospitalizado: discurso de profissionais da saude, estudantes, pacientes e acompanhantes de idosos",SOLANGE FATIMA GERALDO DA COSTA,MARIA BERNADETE DE SOUSA COSTA
fatores associados a satisfacao do usuario quanto aos cuidados ofertados na atencao basica em saude: analise a partir do 1o ciclo de avaliacao externa do pmaq-ab,JOAO EUCLIDES FERNANDES BRAGA,JOSE DA PAZ OLIVEIRA ALVARENGA
analise geometrica das solucoes das equacoes de einstein no vazio,DIONISIO BAZEIA FILHO,LAERCIO LOSANO
