Projeto:,Avaliador 1:,Avaliador 2:
condicoes cronicas na infancia: cuidado na atencao primaria a saude,SOLANGE FATIMA GERALDO DA COSTA,GREICY KELLY GOUVEIA DIAS BITTENCOURT
produtos naturais e/ou sinteticos bioativos com potencial terapeutico hipotensor estudos in vivo e in vitro,MARIA DO SOCORRO DE FRANCA SILVA,RAFAEL DE ALMEIDA TRAVASSOS
predicao automatica da relevancia cientifica de pesquisadores a partir da analise das metricas de suas redes de colaboracao,ALISSON VASCONCELOS DE BRITO,ED PORTO BEZERRA
mecanismos envolvidos no efeito anti-inflamatorio da ouabaina,MARCIA REGINA PIUVEZAM,GICIANE CARVALHO VIEIRA
"efeito do tratamento com o alcaloide sintetico mhtp [1-(3- metoxi- 4-hidroxifenil)-7-metoxi-1,2,3,4,- tetrahidroisoquinolina] em modelo experimental de asma alergica.",SANDRA RODRIGUES MASCARENHAS,GICIANE CARVALHO VIEIRA
"avaliacao da atividade antialergica da warifteina, um alcaloide de cissampelos  sympodialis echl (menispermaceae).",SANDRA RODRIGUES MASCARENHAS,GICIANE CARVALHO VIEIRA
avaliacao do efeito de substancias naturais e sinteticas no tratamento de rinite alergica experimental.,SANDRA RODRIGUES MASCARENHAS,MARCIA REGINA PIUVEZAM
leishmaniose visceral humana: estudo de marcadores imunologicos e sua importancia no prognostico de doenca sintomatica e assintomatica,HAMILCAR JOSE ALMEIDA FILGUEIRA,RITA DE CASSIA DA SILVEIRA E SA
"identificacao dos fatores socioeconomicos, ambientais e imunologicos relacionados com a dinamica da transmissao e o estabelecimento da leishmaniose tegumentar americana em habitantes de area endemica no estado da paraiba, brasil.",ALESSANDRA SOUSA BRAZ CALDAS DE ANDRADE,ESTHER BASTOS PALITOT
atividade enzimatica de bacterias associadas aos corais do genero siderastrea dos recifes costeiros da paraiba,MARIA DO SOCORRO VIEIRA PEREIRA,THOMPSON LOPES DE OLIVEIRA
diversidade de bacterias associadas aos cnidarios sadios e doentes dos recifes costeiros da paraiba,MARIA DO SOCORRO VIEIRA PEREIRA,THOMPSON LOPES DE OLIVEIRA
